"PID","describe","how","why_1","why_2","why_3","why_4","why_5","otherself","antidem","trust","antiest","elect","polparticipation","antidem_1","antidem_2","antidem_3","antidem_4","antidem_5","antiest_1","antiest_2","antiest_3","antiest_4R","trust_con","trust_gov","trust_jud","trust_sci","trust_pol","trust_news","polparticip_1","polparticip_2","polparticip_3","polparticip_4","polparticip_5","polparticip_6","vote_2024","vote_now","ideo_con","ideo_lib","ideo_demsoc","ideo_lbrtn","ideo_prog","party_gen","party_dem","party_rep","party_ind","party_followup","att_1","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","ai_sentiment","ai_topics","left_behind_score","category","culprit","feeling_vs_objective","culprit_text","rationale","n_reasons","any_gov","any_nonsense","frac_systemic","frac_individual","frac_both","frac_none","top_category","feedback"
"NI842eh","I think the people that are left behind are the poor. Due to being poor many people are missing out on prime opportunities that people who are in richer neighborhoods have access to. I think there’s ways to remedy this but over the years there hasn’t been any real change.",31,"Not enough access to resources","Not safe neighborhoods","Financially struggling",NA,NA,3,NA,2,6,1,1.16666666666667,NA,NA,NA,NA,NA,7,5,6,6,2,2,2,3,1,2,1,1,1,1,1,2,"I did not vote","I would not vote",4,4,4,4,5,"Independent",NA,NA,"Neither","Independent | Neither",1,1,22,"woman","Black or African American","GED","$40,001-$60,000",3,2,0,0,0,0,1,"negative","poverty; opportunity disparity",7,"economic",0,1,NA,"The response highlights the feeling of being left behind due to economic disparities and lack of access to opportunities.",3,0,0,0.666666666666667,0.333333333333333,0,0,"economic","Nope :)"
"HS729np","I think there are many ways to describe such persons who vary. Some are blue collar people who now do not have access to good union jobs for life as their previous two generations had. Others are simply poorer people who gave up long ago. And still others are ones who made poor life choices that are hard to overcome economically.",0,"Outsourcing and offshoring of manufacturing jobs.","Inability to save money even if due to refusing or being unable to work more than one job.","The high cost of housing.",NA,NA,2,NA,2.16666666666667,5.5,1,1.5,NA,NA,NA,NA,NA,5,5,6,6,2,2,3,3,1,2,4,1,1,1,1,1,"I did not vote","I would not vote",3,3,5,5,2,"Independent",NA,NA,"Neither","Independent | Neither",1,1,65,"man","White","GED","$20,001-$40,000",2,2,1,1,0,0,1,"mixed","blue collar jobs; economic challenges; life choices",5,"economic",0,0,NA,"The response describes various groups facing economic challenges without assigning blame to a specific party.",3,0,0,0.666666666666667,0.333333333333333,0,0,"economic","While I consider myself libertarian, there are many different types of same.  I am not one to vote 3rd party purely as a protest vote, so I have voted for both major parties over time.  While I abstained from voting for president in 2024, I did vote in other races.  I just did not like either Trump or Harris."
"HT168ob","the working class is most likely feeling left behind given the instability they are currently facing.",0,"disrespected","uncounted","ungrateful",NA,NA,1,NA,1.33333333333333,6,0,1,NA,NA,NA,NA,NA,6,6,6,6,1,1,1,3,1,1,1,1,1,1,1,1,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",4,4,4,4,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,69,"woman","White","4yearColl","$60,001-$80,000",4,4,1,0,0,0,1,"negative","working class; instability",5,"economic",0,1,NA,"The statement suggests that the working class feels left behind due to current instability, without naming a specific responsible party.",3,0,1,0,0.666666666666667,0,0.333333333333333,"social","thank you"
"SK007je","They make minimum wage and it is just not enough to survive on. They only get by because of help they get from others.",0,"Money made","Lack of security","Cost of living","Overall economy",NA,2,1,2,6,0,2.83333333333333,1,1,1,1,1,6,6,6,6,2,2,3,3,1,1,4,3,3,3,2,2,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",6,1,1,1,NA,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,43,"woman","White","GED","$20,001-$40,000",2,2,1,0,1,0,0,"negative","minimum wage; survival; financial help",8,"economic",0,0,NA,"The response highlights the inadequacy of minimum wage to cover basic living expenses, indicating an objective economic struggle.",4,0,1,0.75,0,0,0.25,"economic",NA
"WB378xn","Right now due to the new administration we have in office, the middle class and lower class will be left behind. The new tax laws and cuts. Hurt the lower and middle class to help the rich get richer and stay rich.",31,"Tax hikes","Cuts on medicaid","Inflation","Job lay offs","Cost of living going up",5,NA,1.5,6,1,2.5,NA,NA,NA,NA,NA,7,4,7,6,1,1,1,3,1,2,5,2,3,2,1,2,"I did not vote","Bernie Sanders",1,4,4,2,5,"Independent",NA,NA,"Neither","Independent | Neither",1,1,34,"man","Black or African American","GED","$20,001-$40,000",2,2,0,1,0,0,1,"negative","tax laws; economic inequality",8,"economic",1,0,"new administration","The response highlights how new tax laws are perceived to disadvantage the middle and lower classes economically.",5,1,0,1,0,0,0,"economic","No comments"
"FD353dy","I think the low income are being left behind. The right is frequently trying to remove their services, jobs are hard to get and things are only getting more expensive.",52,"Wages","Education","Social services","Jobs",NA,4,1.8,1.83333333333333,6.5,1,2.16666666666667,1,2,1,4,1,7,7,7,5,1,1,2,4,1,2,4,1,2,3,2,1,"Kamala Harris (Democratic Party)","Kamala Harris (Democratic Party)",5,5,5,4,4,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,44,"man","White","GED","$80,001-$100,000",5,2,1,1,0,1,0,"negative","low income; services; jobs; cost of living",8,"economic",1,0,"the right","The response highlights economic challenges faced by low-income individuals, with a specific mention of political actions contributing to their difficulties.",4,0,0,0.75,0,0.25,0,"economic","Nothing really. Thanks for giving me the chance to share my opinion."
"HQ389yr","People who are feeling left behind are those who are working hard for their families but is faced with major tragedies in their lives. They are faced with medical issues and bills or they are single parent and unable to afford childcare and the like.",19,"medical bills are too high","cannot afford childcare","feel punished for having kids","they have no support","they have been victimized",2,2.2,2.33333333333333,4,1,2.16666666666667,2,2,2,3,2,4,5,3,4,2,2,3,2,2,3,3,3,2,2,2,1,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",4,1,1,2,2,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,53,"woman","Asian","4yearColl","$160,001-$180,000",9,4,0,0,1,0,0,"negative","medical issues; childcare; financial struggles",7,"economic",0,1,NA,"The response highlights personal struggles and feelings of being left behind due to economic hardships and personal tragedies.",5,0,0,0.4,0.2,0.4,0,"social",NA
"VG803te","The kind of person being left behind are anyone that is not white, male or straight. Everyone else is being left behind and in some cases being attacked. People who do not swallow the lies of the MAGA cult are being left behind and neglected and attacked. People who do not believe the firehose of lies that the criminal traitor in the White House spews are being left behind and considered ""the enemy of the people."" People who believe in truth, justice, democracy and the Constitution are being left behind. Anyone who isn't rich is being left behind.",45,"They are attacked when speaking the truth","They are attacked because of the sexuality","They are attacked because of the color of their skin","They are attacked because they defend justice",NA,3,2.4,2.5,6,1,2.5,2,2,3,2,3,7,6,5,6,1,2,4,4,1,3,4,1,1,3,2,4,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",4,5,5,4,4,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,63,"man","White","GED","$140,001-$160,000",8,2,1,1,0,0,1,"negative","discrimination; political division; truth and justice; economic inequality",10,"social",1,1,"MAGA cult, criminal traitor in the White House","The response expresses strong feelings of being left behind due to political and social discrimination, with specific blame on political figures and movements.",4,0,0,0.5,0.25,0,0.25,"social",NA
"IE967wo","I think that someone feeling left behind would be someone who desperately needs help from the government but cannot get it.",50,"Homeless","Hungry","Stranded","No health care","Health problems",2,3,2.16666666666667,6.75,0,4.66666666666667,2,2,4,6,1,7,7,7,6,3,2,2,3,2,1,5,4,5,4,5,5,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",5,2,2,NA,NA,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,20,"woman","multiracial","GED","$0-$20,000",1,2,0,0,1,0,0,"negative","government assistance; feeling left behind",8,"social",0,1,NA,"The statement describes a person feeling left behind due to lack of government help, indicating a social issue.",5,1,1,0.2,0.2,0,0.6,"other",NA
"KW186li","I think that the person who feels they are left behind tends to be of an older age. They feel like society was working better when they were younger and are dismayed by new trends that they don't understand. Generally, this person probably has a lower income and has struggled financially or in their career. I think this person tends to be more on the conservative side and is uncomfortable with advancements in culture and society.",50,"The person is struggling financially and does not feel supported.","The person feels that the culture is changing rapidly and leaving them behind.","The person is not as open to new ideas, so when they are confronted with something new they feel uncomfortable or left out.",NA,NA,2,NA,2.83333333333333,5,1,3.16666666666667,NA,NA,NA,NA,NA,6,5,4,5,2,2,3,4,2,4,5,4,2,3,2,3,"Kamala Harris (Democratic Party)","Kamala Harris (Democratic Party)",3,5,6,2,6,"Independent",NA,NA,"Neither","Independent | Neither",1,1,41,"woman","White","4yearColl","Over $200,000",11,4,1,0,0,0,1,"mixed","age; society; income; culture",6,"social",0,1,NA,"The response describes feelings of being left behind due to age and discomfort with societal changes, without naming a specific culprit.",3,0,0,0,0.666666666666667,0.333333333333333,0,"social",NA
"AA715zw","In order to be left behind, being a healthy person, is becuase you dont want to succeed. Success brings effort, determination and discipline. With all of those, you will never be left behind",10,"lack of determination","lazyness","no dsicipline","no goals","no effort",1,2.8,2,3.75,1,1.33333333333333,2,2,2,2,6,3,5,4,3,2,2,3,2,2,1,3,1,1,1,1,1,"I did not vote","Donald Trump (Republican Party)",5,2,2,5,2,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,63,"man","multiracial","MA","$100,001-$120,000",6,5,0,1,0,0,1,"positive","success; effort; determination; discipline",1,"social",0,1,NA,"The response suggests that personal effort and discipline prevent being left behind, framing it as a matter of personal feeling and choice.",5,0,0,0,1,0,0,"other",NA
"KB341xj","I think those who feel left behind are those set in their ways and refuse to adapt with the current environment. They are stubborn and refuse to change or acknowledge the world is different. I also think these people feel like they do not have to do anything and are use to not trying hard and think things will be handed to them",50,"difference in generations","progress in the world","lazy","won't confront current reality",NA,1,1.4,1.5,5.75,1,1.16666666666667,1,1,3,1,1,6,6,5,6,1,2,2,2,1,1,2,1,1,1,1,1,"Donald Trump (Republican Party)","J. D. Vance (Republican Party)",5,1,1,4,1,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,32,"woman","White","4yearColl","$40,001-$60,000",3,4,1,0,1,0,0,"negative","adaptation; stubbornness; change",1,"social",0,1,NA,"The response suggests that those feeling left behind are resistant to change and have a mindset of entitlement.",4,0,1,0.25,0.5,0,0.25,"other",NA
"GS484yn","single, poor and working class people are being left behind, specifically due to the extremely accelerating costs of housing, utilities, food, and healthcare with evident disdain from politicians that these types of people would dare to complain about their existence in the greatest country on earth",24,"low pay","high housing costs","little upward mobility",NA,NA,4,2,2.33333333333333,5.25,1,1.33333333333333,3,3,2,1,1,7,6,3,5,2,2,3,4,1,2,2,1,2,1,1,1,"Kamala Harris (Democratic Party)","Alexandria Ocasio-Cortez",1,NA,2,3,4,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,37,"man","White","4yearColl","$0-$20,000",1,4,1,1,0,0,1,"negative","housing costs; utilities; food; healthcare; politicians",8,"economic",1,0,"politicians","The response highlights economic struggles due to rising costs and blames politicians for their dismissive attitude.",3,0,0,1,0,0,0,"economic",NA
"QQ652ox","There is such a wealth gap in this country now that it is easy to see how the lower classes might be feeling left behind. The stock market is at all time highs, housing prices continue to climb, yet economically disadvantaged people do not benefit at all from these developments.",10,"Can't afford a house","Not a lot of career opportunities","Jobs being replaced by AI","Harder to put food on the table","Unequal access to good healthcare",1,2,1.5,5.5,1,2.66666666666667,2,1,3,2,2,6,6,4,6,1,1,3,2,1,1,5,1,2,2,3,3,"Donald Trump (Republican Party)","J. D. Vance (Republican Party)",4,1,1,2,1,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,71,"man","White","PHD","Over $200,000",11,6,1,1,0,0,1,"negative","wealth gap; economic disparity; stock market; housing prices",8,"economic",0,1,NA,"The response highlights the economic disparity and how the lower classes might feel left behind due to not benefiting from economic developments.",5,0,0,1,0,0,0,"economic",NA
"QD618yk","Someone who would feel left behind in today's society are the poor and homeless. They live on the streets with nowhere to go to feel safe. They have to beg for money just to keep themselves alive. It's impossible for many of them to get out of this situation.",80,"can't afford food","can't afford housing","always feeling alone","having to bed for money/scraps","nobody helps them",1,1.8,3,4.75,0,1.33333333333333,2,2,2,2,1,6,5,5,3,3,3,3,4,2,3,2,2,1,1,1,1,"I did not vote","Kamala Harris (Democratic Party)",1,5,2,1,1,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,22,"woman","Asian","4yearColl","$80,001-$100,000",5,4,0,0,0,1,0,"negative","poverty; homelessness; safety",9,"economic",0,1,NA,"The response highlights the struggles of the poor and homeless, emphasizing their feelings of being left behind due to economic hardships.",5,0,0,0.4,0.4,0.2,0,"economic",NA
"ZQ679tg","The person feeling left behind is anyone who is not a MAGA. Anyone who is marginalized or any way different from the conservative core.",51,"DEI removal","executive orders","Supreme court rulings","congressional action or inaction",NA,4,2,2.83333333333333,4.75,1,2.5,2,2,2,2,2,7,5,3,4,2,3,2,4,2,4,4,1,3,2,3,2,"Kamala Harris (Democratic Party)","Pete Buttigieg",1,7,4,4,7,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,66,"woman","White","4yearColl","$20,001-$40,000",2,4,1,0,0,1,0,"negative","marginalization; political division",8,"social",1,1,"conservative core","The response highlights feelings of marginalization among those who are not part of the conservative core.",4,1,0,1,0,0,0,"political",NA
"BK623mw","People living in poverty or who are homeless are likely feeling left behind. There is a concerted effort now to reduce social services and no other solutions being offered.",30,"They are ignored","There are not many services or help available","They are considered undesireable","They have no advocacy","The rich continue to get richer",3,NA,1.16666666666667,6.25,1,1.16666666666667,NA,NA,NA,NA,NA,7,6,6,6,1,1,1,1,1,2,2,1,1,1,1,1,"I did not vote","I would not vote",1,1,1,1,1,"Independent",NA,NA,"Neither","Independent | Neither",1,1,48,"man","Asian","GED","$0-$20,000",1,2,0,1,0,0,1,"negative","poverty; homelessness; social services",8,"social",1,1,"effort to reduce social services","The response highlights feelings of being left behind due to reduced social services and lack of solutions.",5,0,0,0.75,0.25,0,0,"social","interesting"
"GB372pe","The kind of person left behind by the United States has either a low educational background and not many professional skills to advance out of low paying jobs. The other person getting left behind are younger individuals who have college debt and can't find living wage jobs due to the rise of AI replacing historically good jobs.",45,"They may not have a professional network and cannot advance to better types of jobs","They are racially discriminated against","They have medical debt due to lacking affordable healthcare","They grew up in a lower social class and are hitting glass ceilings in jobs and society trying to advance","They are a woman who are generally discriminated against professionally",3,2,2.5,4.25,1,3.5,2,2,2,2,2,6,3,3,5,2,2,2,4,2,3,3,4,4,3,3,4,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",1,7,7,2,7,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,38,"man","White","4yearColl","$60,001-$80,000",4,4,1,1,0,1,0,"negative","education; employment; AI impact; college debt",7,"economic",1,0,"AI, economic system","The response highlights systemic issues like AI replacing jobs and college debt, indicating an objective condition of being left behind.",5,0,0,0.4,0,0.6,0,"social",NA
"RI475ia","This kind of person is someone who may or may not work a lower wage job and hwo just can't catch a break. They do not have a safety net and could be one step away from poverty or in poverty.",0,"finances","lack of support","low wages",NA,NA,2,1,2,3.25,1,1,1,1,1,1,1,3,3,4,3,2,3,3,2,1,1,1,1,1,1,1,1,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",6,1,1,4,1,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,49,"woman","White","4yearColl","$100,001-$120,000",6,4,1,0,1,0,0,"negative","poverty; low wage jobs; lack of safety net",7,"economic",0,1,NA,"The response describes a person struggling economically without a safety net, indicating a feeling of being left behind.",3,0,1,0.666666666666667,0,0,0.333333333333333,"economic",NA
"US761jk","I believe that anyone who is not wealthy feels left behind right now. It very much feels like a society only the rich can grow and thrive in. Add to that things like race and disabilities, and it can feel quite hopeless",23,"The leadership encourages it","Division among the people","Hatred among the people","Inflation","Low wages",3,1.6,1.5,6.75,1,2.33333333333333,2,1,1,1,3,7,7,6,7,1,1,2,3,1,1,5,3,3,1,1,1,"Donald Trump (Republican Party)","I don’t know, but definitely NOT Trump",2,2,3,3,2,"Other party",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,44,"woman","White","2yearColl","$140,001-$160,000",8,3,1,0,0,0,0,"negative","wealth disparity; social inequality; race; disabilities",8,"social",0,1,NA,"The response highlights feelings of being left behind due to wealth disparity and social factors like race and disabilities.",5,1,0,1,0,0,0,"economic",NA
"JW366xt","One group people that I think feel left behind are young men and women. A lot of younger people feel confusing and uncertain about what direction or path they should take to achieve their goals. Life can be difficult to navigate through and the current way society is structed, guidance and help for those people is simply not good enough. I know many young people that tell me how uncertain they feel about most of their decisions and how they don't have anyone to turn to for help and where they should go from where they are.",70,"lack of help","lack of resources","poor education system",NA,NA,5,1,2.33333333333333,6,1,1.16666666666667,1,1,1,1,1,5,7,6,6,3,2,3,3,2,1,2,1,1,1,1,1,"I did not vote","I would not vote",1,3,1,1,1,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,31,"man","White","2yearColl","$20,001-$40,000",2,3,1,1,0,1,0,"negative","young people; uncertainty; lack of guidance",5,"social",0,1,NA,"The response highlights young people's feelings of confusion and lack of guidance, indicating a social issue without naming a specific culprit.",3,1,0,1,0,0,0,"social",NA
"WJ238ot","I believe that might be any elderly person. We do not think as a society about our elders. They are left alone, mostly if taken care of they are closed in nursing homes left with no contact with busy families, kids, We do not care about them. The medicare is sooo complicated, why should that be? for old people it suppose to be easy, accesible, useable and it is not. So, in my opinion the old people ale totally forgotten and left alone.",51,"society as a whole does not seem to be interested","the goverment is setting the rules so difficult for the elderly to use that they are not useing what should.","Overall the settup of the structure of our society., We do not value old people",NA,NA,2,2.4,1.83333333333333,5.25,1,1.66666666666667,2,2,4,2,2,6,5,6,4,2,2,2,2,2,1,3,3,1,1,1,1,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",6,1,1,1,1,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,56,"woman","White","MA","Over $200,000",11,5,1,0,1,0,0,"negative","elderly care; nursing homes; medicare complexity",8,"social",1,1,"society","The response expresses concern about the neglect of elderly people by society and the complexity of Medicare, indicating they feel left behind.",3,1,0,1,0,0,0,"social",NA
"XJ694oh","I think people that are feeling left behind are liberals. They constantly play the victim in Trump's economy.",51,"Playing the victim","Not willing to work","Brain washed",NA,NA,1,4,2.5,4,1,1.83333333333333,5,4,4,3,4,4,5,3,4,2,3,3,3,3,1,2,3,2,2,1,1,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",6,1,2,2,4,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,39,"woman","White","4yearColl","$100,001-$120,000",6,4,1,0,1,0,0,"negative","liberals; Trump's economy; victim mentality",5,"political",1,1,"liberals","The response suggests that liberals feel left behind and play the victim in the context of Trump's economy.",3,0,1,0,0.666666666666667,0,0.333333333333333,"economic",NA
"VC841lr","An American who feels left behind in this day and age is just tired of what America has become. Considering the history of most countries being run by kings, it's a dog-eat-dog world.",80,"A lot of people have been railroaded because of their honesty","Hardwork can only get you so far even if done in a satisfatory quality.","Majority of people are out for themselves.","You can only control your actions not anyone else's.",NA,4,2.2,2.16666666666667,5.75,1,2.83333333333333,4,1,2,3,1,7,5,6,5,2,1,1,4,2,3,4,5,3,1,2,2,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",3,3,2,NA,NA,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,34,"man","multiracial","GED","$0-$20,000",1,2,0,1,0,0,1,"negative","feeling left behind; American society",5,"social",0,1,NA,"The response expresses a feeling of being tired and left behind by societal changes in America.",4,0,0,0,1,0,0,"other",NA
"ZT686ly","I think the kind of person that thinks they need to be taken care of rather than taking care of themselves feels left behind since things are more expensive and they aren't getting as many freebies. I think they need an attitude adjustment and figure out how to be self reliant and find skills and have higher goals.",10,"They are having housing issues with rents going up","They aren't getting as much bang for their buck with foodstamps","They aren't allowed to sleep wherever they want to sleep if homeless, such as on sidewalks in a lot of cities","Encampments are being cleared out/not allowed in a lot of places",NA,1,2,2.33333333333333,5,1,1.33333333333333,2,2,2,2,2,3,6,6,5,2,2,4,3,2,1,3,1,1,1,1,1,"I did not vote","Someone new that is reasonable",4,1,1,1,1,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,53,"woman","White","GED","$120,001-$140,000",7,2,1,0,0,0,1,"negative","self-reliance; economic challenges; attitude adjustment",5,"economic",0,1,NA,"The response suggests that people feel left behind due to rising costs and a lack of self-reliance, implying a need for personal change rather than external blame.",4,1,0,1,0,0,0,"economic","I hope we can find a true moderate for the next election."
"HF412fa","The kind of person that feels left behind in the United States is someone who has been working hard their entire life to get the right education, get the right job, and earn a decent salary, only to have the goal post constantly moved further away. This includes increased taxes that affect the middle to lower class more than the 1 percenters. High interest rates which makes it nearly impossible to afford to purchase a home and maintain it. Insurance premiums that seem to be as high as a car note. All of these things and more continue to add to the mountains that people are already struggling to climb.",24,"Low salary","Increased debt","Lack of tax breaks","High premiums for housing and cars","High interest rate",4,2.6,1.66666666666667,6.75,0,1.66666666666667,2,4,2,3,2,7,7,7,6,1,1,3,2,2,1,3,1,1,1,3,1,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",6,1,1,3,1,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,37,"woman","Black or African American","MA","$100,001-$120,000",6,5,0,0,0,0,1,"negative","economic inequality; taxes; interest rates; insurance premiums",8,"economic",1,1,"economic policies affecting middle to lower class","The response highlights feelings of being left behind due to economic challenges and policies perceived to favor the wealthy.",5,1,0,0.8,0,0.2,0,"economic",NA
"VC480ol","Most minorities are being left behind. we have people that dont care about building others up and instead choose to do things for the benefit of themselves and those that look like them",44,"policies not geared towards them","taking away rights","increased harrassment",NA,NA,3,1.8,2.5,4.75,1,1.16666666666667,1,2,2,2,2,5,4,4,6,2,2,3,3,2,3,2,1,1,1,1,1,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",2,5,4,3,4,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,36,"man","White","4yearColl","$80,001-$100,000",5,4,1,1,0,1,0,"negative","minorities; self-interest; community",8,"social",1,1,"people that don't care about building others up","The response highlights a negative sentiment towards self-interested behavior that leaves minorities behind, implying a social issue.",3,1,0,1,0,0,0,"political",NA
"NM526dg","i believe that the average, everyday American is being left behind by the way things are currently being done in the United States. our country unfortunately heavily favors the rich, and especially since Trump came into office. even middle income people are struggling to make ends meet nowadays.",0,"inflation","tariffs","our president","low wages and expensive basic goods",NA,4,NA,1.83333333333333,7,1,1.33333333333333,NA,NA,NA,NA,NA,7,7,7,7,1,1,2,4,1,2,3,1,1,1,1,1,"I did not vote","Gavin Newsom (Democratic Party)",1,4,3,NA,NA,"Independent",NA,NA,"Neither","Independent | Neither",1,1,28,"man","White","GED","$40,001-$60,000",3,2,1,1,0,0,1,"negative","economic inequality; political leadership",7,"economic",1,1,"the rich, Trump","The response expresses a belief that the system favors the rich and mentions Trump as a contributing factor, indicating a feeling of being left behind.",4,1,0,0.75,0,0,0.25,"economic",NA
"MZ985gj","I think the people feeling left behind are those who are lower income or are minorities in America. I think that as the administration is handling things now these are the ones suffering the most at this time.",19,"Cost of living","Ideaology","Bills that are being passed","Bills that are being listened too","Changing of laws.",4,1,1.66666666666667,5,1,1,1,1,1,1,1,4,5,5,6,2,2,2,2,1,1,1,1,1,1,1,1,"Donald Trump (Republican Party)","J. D. Vance (Republican Party)",4,2,2,5,3,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,30,"woman","White","GED","$20,001-$40,000",2,2,1,0,1,0,0,"negative","lower income; minorities; administration",7,"social",1,1,"administration","The response suggests that lower income and minority groups feel left behind due to the current administration's handling of issues.",5,1,1,0.6,0,0,0.4,"other",NA
"BV276sc","Low income people, unemployed people and people who are struggling every day",53,"economic situation","inflation","low self esteem","not confident","unemployment",3,4.6,3.16666666666667,4.5,0,3.83333333333333,5,3,2,7,6,6,4,5,3,3,3,3,4,3,3,4,4,5,3,3,4,"I did not vote","Kamala Harris (Democratic Party)",2,4,4,5,5,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,33,"woman","Black or African American","4yearColl","$80,001-$100,000",5,4,0,0,0,1,0,"negative","low income; unemployment; daily struggles",8,"economic",0,1,NA,"The response highlights the struggles of low income and unemployed individuals, indicating a feeling of being left behind economically.",5,0,0,0.6,0.4,0,0,"economic","N/A"
"TH058vf","I think the ones who feel they are being left behind are generally un educated or under educated individuals who have made poor life choices. They are now living in a society that they dont feel they ""fit"" in. A large part of this is due to their lack of marketable skills that have left them not being able to succeed. They see large numbers of people in this country succeeding and wonder why they cant. Due to the political environment, they are feed propaganda that boosts their feelings of disenfranchisement.",35,"They are uneducated","They lack the skills/knowledge to be successful","They are being told who is to blame for their cicumstances",NA,NA,1,2.6,2.66666666666667,3.5,1,2.5,2,1,4,2,4,4,5,2,3,2,3,3,4,2,2,5,2,2,2,3,1,"Donald Trump (Republican Party)","J. D. Vance (Republican Party)",5,2,4,4,3,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,57,"man","White","2yearColl","$120,001-$140,000",7,3,1,1,1,0,0,"negative","education; life choices; marketable skills; political environment",7,"social",0,1,NA,"The response highlights feelings of not fitting in and disenfranchisement due to lack of skills and education, influenced by the political environment.",3,0,0,0.333333333333333,0.666666666666667,0,0,"social","The final question about who I would vote for in the presidential election where held tomorrow was Odd. President Trump cannot be a presidental nominee in the next election as he is currently in in second and last term. Thus my choice if a presidential election were held tommorrow would be J.D. Vance. There is no way in hell i would vote for Kamala Harris. Just saying."
"MN780ky","I would say most people feel this way. The only people who wouldn't feel this way are the super wealthy and the managerial and administrative class. Regular people from all walks of life have many reasons to feel fed up and disenfranchised.",20,"Lack of ability to make a life for oneself","Poor job prospects","Basic goods being far too expensive","Rampant corruption","Consolidation of all industries",4,1.6,2,6.75,1,1.5,2,2,1,2,1,7,7,6,7,2,2,2,3,1,2,2,1,2,1,2,1,"I did not vote","Anyone else",1,2,5,5,4,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,37,NA,"White",NA,NA,NA,NA,1,NA,0,0,1,"negative","wealth disparity; disenfranchisement",7,"social",1,1,"super wealthy, managerial and administrative class","The response highlights a feeling of disenfranchisement among regular people, contrasting them with the super wealthy and managerial class.",5,1,0,0.8,0.2,0,0,"economic",NA
"KH029xt","I believe the senior citizens. They worked hard for our country's traditions, values and paid taxes all their lives to be told they may have to work longer to receive the benefits of retirement that earned. To be billed crazy medical costs with no wage increase to them. To see the world they built going to hell because of the last couple generations.",12,"Cost of medical increase","Cost of living increase","No increase to their wage","lonely","no one sticking up for their tights since it is hard for them to do it themselves",4,2.2,1,5.5,0,1.5,1,1,1,1,7,1,7,7,7,1,1,1,1,1,1,4,1,1,1,1,1,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",5,1,1,1,1,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,49,"woman","White","GED","$80,001-$100,000",5,2,1,0,1,0,0,"negative","retirement benefits; medical costs; generational change",8,"economic",1,1,"last couple generations","The response expresses frustration about senior citizens feeling left behind due to economic challenges and generational changes.",5,0,0,0.6,0.4,0,0,"economic",NA
