"PID","Status","Progress","Duration..in.seconds.","Finished","consent","intro","gender_.99_TEXT","race_8_TEXT","age","ideo_1","ideo_2","ideo_3","ideo_4","ideo_5","lebe_cont_1","describe","system","gov","econcult","history","trajectory","antidem_1","antidem_2","antidem_3","antidem_4","antidem_5","elect_exp","elect_change","elect_econ","elect_cult","antiest_1","antiest_2","antiest_3","antiest_4","trust_con","trust_gov","trust_jud","trust_sci","trust_pol","trust_news","vote_2024_12_TEXT","check_1","feedback","inparty","outparty","extra_text","gender","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","income","edu","party_gen","party_gen_5_TEXT","party_dem","party_rep","party_ind","vote_2024"
"IY459uk","0","100","325","1","1","4","","","42","1","6","4","4","7","93","Don’t have the income to have experiences, save, or be prepared for emergencies. Not able to have adequate medical care for me or my spouse.","1","5","1","2","1","4","4","4","4","4","4","4","7","7","7","6","5","2","2","2","2","3","2","2","","Popeyes ","","Democratic Party","Republican Party","","man","White","","","","","","","","$20,001-$40,000","GED","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)"
"ZI289tp","0","100","398","1","1","4","","","26","7","6","5","5","2","10","The feeling of being left behind relates to a person who feels that society has disregarded them both personally and socioeconomically. Examples of this could be homelessness, drug addiction and being put into a class that most of the society disregards. Feeling left behind ultimately means that a person has lost hope in the future for themselves and society shows this as a reality. ","3","3","3","4","1","1","1","1","1","1","4","3","2","3","6","5","5","4","2","2","2","4","2","3","","Chipotle","","Republican Party","Democratic Party",", if any,","man","White","","","","","","","","$80,001-$100,000","4yearColl","Independent","","","","Closer to Republican","Donald Trump (Republican Party)"
"PX628uy","0","100","374","1","1","4","","","65","1","7","7","1","7","18","If I felt left behind, I would feel that technology is advanced past my general knowledge and I don't know how to catch up.","1","5","2","3","2","3","4","4","3","5","1","3","7","7","7","6","3","1","1","1","1","3","1","1","","arby's","","Democratic Party","Republican Party",", if any,","woman","White","","","","","","","","$20,001-$40,000","2yearColl","Democrat","","Strong","","","Kamala Harris (Democratic Party)"
"DL870tq","0","100","500","1","1","4","","","44","1","5","5","","5","60","I feel my race has often been left behind in all facets of life. So, when it comes to the education system, the jobs available in the community, or even access to healthy foods in all neighborhoods. I've been left behind.","1","4","4","3","2","1","1","1","1","1","2","3","6","6","7","7","7","1","1","1","1","3","1","3","","Popeyes","","Democratic Party","Republican Party","","woman","","","Black or African American","","","","","","$80,001-$100,000","GED","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)"
"WG155do","0","100","360","1","1","4","","","40","4","4","3","2","5","50","I don't feel left behind. I have to be honest with myself in this regard. I feel like most people never really understood where I'm coming from, and so I don't match the average person, and therefore, I can't be left behind. To be left behind means people understood me at some point and decided I'd be better off alone. Well, no one really understood me, and I decided to be left alone. While it does seem that the word keeps going as I stay stationary, it's mostly because I didn't want to be a part of all that in the first place.","6","1","4","4","4","1","1","1","1","1","6","7","4","5","5","4","4","4","3","3","3","4","3","3","","KFC","","Democratic Party","Republican Party","","man","White","","","","","","","","$20,001-$40,000","GED","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)"
"BD747ot","0","100","199","1","1","4","","","42","2","5","","1","3","5","Feeling left behind means that you think that you don't get the help or assistance that others are receiving. I think my grandpa paid much more college tuition for one of my cousins than he did for me, so I feel more left behind in that regard.","7","1","2","5","2","1","1","1","1","1","3","6","5","6","7","5","4","2","2","2","2","3","2","2","","McDonald's","","Democratic Party","Republican Party",", if any,","man","White","","","","","","","","$120,001-$140,000","MA","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)"
"UU234cj","0","100","239","1","1","4","","","37","5","5","6","5","6","84","I did not have a strong support system, so I feel like I am still catching up. I am almost 40 and I still don't know what I want to do for the rest of my life, nor have I been able to keep up with basic things like dental and mental health.","3","4","4","1","1","2","2","3","1","1","2","2","6","7","7","7","6","1","1","1","2","3","1","1","","In n Out","","Democratic Party","Republican Party","","woman","White","","","","","","","","$40,001-$60,000","GED","Democrat","","Not very strong","","","I did not vote"
"YH607ob","0","100","433","1","1","4","","","57","1","6","7","1","7","37","Feeling left behind is the sense that everything and everyone around me is progressing or moving on while I stay put. It might mean that I see friends doing new things in their lives and meeting new people without inviting or including me. It also might include not keeping up with the latest technologies or trends and feeling left out of them. For some people it may include watching colleagues succeed and receive promotions or raises at work while they do the same thing day after day with little or no recognition or reward. I'm retired now and can do things that I find interesting, so I actually feel more free right now and not left behind at all.","3","2","5","4","4","1","1","1","1","1","5","3","7","7","7","5","5","4","2","2","3","4","2","3","","Popeye's","","Democratic Party","Republican Party",", if any,","woman","White","","","","","","","","$20,001-$40,000","PHD","Democrat","","Strong","","","Kamala Harris (Democratic Party)"
"PJ136ll","0","100","495","1","1","4","","","38","6","1","1","","1","94","It means I'm not as far as I should be in life. I feel this way because I am not a successful person.","5","1","1","2","2","4","2","4","2","7","2","4","4","2","6","7","7","1","1","2","2","2","2","1","","taco bell","","Republican Party","Democratic Party","","man","White","","","","","","","","$40,001-$60,000","GED","Republican","","","Strong","","I did not vote"
"CL525ij","0","100","238","1","1","4","","","21","4","3","2","6","3","15","Feeling left behind means being excluded from essential opportunities. If I am denied the opportunity to excel, or am rejected from certain activities due to my past, I would feel left behind. ","6","1","6","3","3","1","1","3","1","2","4","5","2","2","1","2","2","5","3","3","4","4","2","3","","Mcdonald's","This survey was extremely interesting!","Republican Party","Democratic Party",", if any,","man","","","","Asian","","","","","$100,001-$120,000","2yearColl","Independent","","","","Closer to Republican","I did not vote"
"HH826sp","0","100","265","1","1","4","","","42","3","3","3","2","2","0","I can't really say that I feel left behind. I've been pretty blessed in my life and don't have much in the way of major concerns in this regard. I'm pretty lucky overall.","4","1","4","4","4","","","","","","5","6","5","5","5","5","2","2","2","2","3","4","1","3","","Pizza Hut","","Non-Partisan","Non-Partisan",", if any,","man","White","","","","","","","","$40,001-$60,000","PHD","Independent","","","","Neither","Kamala Harris (Democratic Party)"
"ZJ384mu","0","100","243","1","1","4","","","42","5","2","1","5","1","40","I feel like it means in the economic sense, like the economy has left you behind and you feel like you don't have the opportunities that were afforded to others. ","3","3","1","5","2","2","1","2","3","3","3","5","1","1","5","5","6","3","2","3","3","3","2","1","","taco bell","","Republican Party","Democratic Party",", if any,","man","White","","","","","","","","$60,001-$80,000","4yearColl","Republican","","","Not very strong","","Donald Trump (Republican Party)"
"VW388us","0","100","328","1","1","4","","","47","3","3","1","3","3","100","I have an injury I am dealing with that makes fulltime work difficult. I did not graduate from college. I am not really into technology and don't enjoy social media. I make less money than others in my group. I have trouble affording things.","4","2","2","4","1","1","1","1","1","1","4","3","6","4","7","6","5","2","1","1","2","3","1","2","","burger king","","Republican Party","Democratic Party","","man","White","","","","","","","","$40,001-$60,000","GED","Republican","","","Not very strong","","Donald Trump (Republican Party)"
"AR222lk","0","100","288","1","1","4","","","30","1","6","4","4","6","25","It means you are not able to keep up with the rest of society (income, employment, basic needs, etc.) I feel that the way the US is lately is scary and getting worse. I worry about my future and not being able to survive. ","2","4","2","5","2","1","2","2","4","1","4","5","6","7","7","7","5","1","2","1","2","4","2","3","","Taco Bell","","Democratic Party","Republican Party",", if any,","woman","White","","","","","","","","$60,001-$80,000","4yearColl","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)"
"JM515sx","0","100","550","1","1","4","","","57","1","6","5","1","7","40","I feel left behind in the workforce.  I am currently unable to work because of severe arthritis all over my body.  I miss interacting with my coworkers and feel left behind in that aspect of life.  ","7","1","4","6","1","1","1","1","2","1","5","5","7","7","7","4","7","2","1","3","2","4","2","4","","Burger King","","Democratic Party","Republican Party",", if any,","woman","White","","","","","","","","$60,001-$80,000","GED","Democrat","","Strong","","","Kamala Harris (Democratic Party)"
"DG393mo","0","100","404","1","1","4","","","42","1","6","5","1","6","51","Feeling left behind, in my life, means that government and family have forsaken me.  They have eliminated themselves from any and every form of help to me.","2","3","2","5","2","6","5","5","6","6","3","3","5","6","6","6","6","2","2","2","2","3","3","2","","McDonald's","","Democratic Party","Republican Party","","woman","","","Black or African American","","","","","","$20,001-$40,000","4yearColl","Democrat","","Strong","","","Kamala Harris (Democratic Party)"
"JF171gy","0","100","284","1","1","4","","","39","3","4","3","2","4","0","To me it means missing out on experience or growth. Especially while others in my social circle are moving ahead with careers or houses or other things.","4","1","1","4","4","1","1","1","1","1","4","4","5","6","7","6","4","4","2","3","2","4","2","2","","Qdoba","","Democratic Party","Republican Party",", if any,","man","White","","","","","","","","$140,001-$160,000","4yearColl","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)"
"KP740il","0","100","427","1","1","4","","","48","7","1","1","1","1","50","I do feel kind of left behind, but not because of what liberal media always talks about, race/ethnicity. I feel left behind by our government who always seemed to be putting American citizens last. This current administration is finally putting American citizens first in some respects like safety. This country's government (the last administration) embraced violence over the past 4 years, choosing to side with criminals over hard-working, regular Americans.","1","5","1","5","5","1","1","1","1","1","1","1","1","1","6","7","7","1","1","1","1","1","1","1","","Raising Canes","","Republican Party","Democratic Party","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$40,001-$60,000","GED","Republican","","","Strong","","Donald Trump (Republican Party)"
"GY396ri","0","100","223","1","1","4","","","36","7","1","1","6","1","0","I do not feel left behind. But I may feel left behind if I was unable to make ends meet financially or had not met the goals for family that I have.","6","1","4","4","4","1","1","1","1","1","2","3","2","2","5","3","5","3","3","3","3","3","3","3","","McDonalds","","Republican Party","Democratic Party",", if any,","woman","White","","","","","","","","$140,001-$160,000","4yearColl","Republican","","","Not very strong","","Donald Trump (Republican Party)"
"NH558fu","0","100","442","1","1","4","","","48","1","7","7","2","7","81","Feeling left behind means someone does not care about you or wellbeing. I work in education, and as an educator, I feel left behind by my government. Public education is underfunded, educators are underpaid. I feel like the whole education field is left behind in this country. ","2","5","2","2","1","1","1","1","1","1","1","4","6","7","6","6","4","2","2","2","3","4","2","2","","shake shack","","Democratic Party","Republican Party","","woman","White","","","","","","","","$100,001-$120,000","PHD","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)"
"YU707zw","0","100","344","1","1","4","","","34","3","5","3","2","5","62","It means you have to pull yourself up by the bootstraps. Its important to go and get things done. Its really important to have your own back. ","7","3","5","4","4","1","1","1","1","4","4","5","5","7","7","7","4","3","3","3","3","4","3","2","","popeyes","","Democratic Party","Republican Party","","woman","","","","Asian","","","","","$60,001-$80,000","MA","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)"
"PN091zs","0","100","539","1","1","4","","","30","1","6","6","2","6","25","Feeling left behind means being behind on finances, being behind on life, generally not being cared for by the government in some aspects that make it harder to move up the ladder in life, that you just feel left out and fending for yourself.","2","4","1","7","2","1","1","1","1","1","3","3","4","7","7","5","5","3","2","2","3","4","2","3","","Culvers","","Democratic Party","Republican Party",", if any,","man","White","","","","","","","","$60,001-$80,000","GED","Democrat","","Strong","","","Kamala Harris (Democratic Party)"
"IB006kj","0","100","388","1","1","4","","","34","2","6","7","4","7","75","I feel like compared to when I was growing up I feel a lot more lonely and there are a lot more chances lost for genuine human connection in the world of technology. As a millennial have gone through so when you were sessions and hardships within our country and I think people have grown more nystic and distant as a result. I've also found myself struggling a lot with mental health issues and I can safely say almost everyone in my circle has a similar story regarding struggles fitting in making friends and feeling your most authentic self. I do think a lot of the issue is related to how much technology we put in our lives but there's also something more human that's lacking in society especially after the 2010-2012 things felt like they were going downhill more rapidly.","2","3","5","5","1","1","1","1","1","1","5","6","7","7","7","6","7","3","1","2","2","4","1","1","","Wendys","I appreciate the chance to support your research. Contributing to studies is something I genuinely enjoy. If my responses meet your needs, don’t hesitate to reach out for future studies. I strive to follow directions and offer thoughtful responses. Have a great week.","Democratic Party","Republican Party","","man","White","","","","","","","","$20,001-$40,000","2yearColl","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)"
"WE857pj","0","100","426","1","1","4","","","41","5","3","2","2","3","74","I feel left behind by society due to my upbringing.  I grew up very poor on government assistance, II just now at 41 feel I have an ideal how the world really works, and I am able to have a positive influence on the world.  I was not prepared for life by my family due to coming from a drug ridden, government supported, single parent home. I was not prepared by the inner city schools as well to be successful in life.  By now I have dug myself in such a hole that I will work well into my 70's. ","1","4","6","5","2","1","1","1","7","6","3","7","7","4","7","6","6","5","2","3","3","3","2","2","","Taco Bell","","Republican Party","Democratic Party","","man","White","","","","","","","","$60,001-$80,000","GED","Republican","","","Not very strong","","Donald Trump (Republican Party)"
"BU741iq","0","100","399","1","1","4","","","47","2","3","3","4","5","70","Sometimes I feel left behind by my family because I am not perceived to be as successful as they are. I am an introverted single mom and it’s been hard at times. I feel like a lot of people in my life can’t relate to that so it makes me feel like I’ve been left behind or alone. ","7","1","2","2","4","","","","","","4","6","5","6","5","6","6","2","2","1","3","4","2","3","","Taco Bell","","Non-Partisan","Non-Partisan","","woman","White","","","","","","","","$60,001-$80,000","4yearColl","Independent","","","","Neither","Kamala Harris (Democratic Party)"
"II888eo","0","100","487","1","1","4","","","46","6","3","2","4","3","20","I would say I feel left behind when It comes to the traditional family.    I do not have a husband, and I never have.   I have had a lot of relationships that I thought may potentially lead to marriage, but none ever made it that far.   I am glad they didn't because the relationships weren't really great.   I still though, feel like I never met that person that I could and would spend my life with, and the majority of people my age are well into either successful marriages or several divorces.   Now I never wanted to be divorced, so maybe that was a higher power keeping me from marrying the men that I've dated, but still, I sometimes really wish that I was in a traditional marriage, where I had help with life.   I had a life partner, and didn't have to go through all of the things one has to go through, alone.","7","1","7","4","4","1","3","2","2","7","3","4","2","1","4","5","5","6","2","2","2","2","2","1","","Chipotle","I was really affected by that question.   It's a good thing.   Thank you.","Republican Party","Democratic Party",", if any,","woman","White","","","","","","","","$60,001-$80,000","4yearColl","Republican","","","Strong","","Donald Trump (Republican Party)"
"VA658ao","0","100","329","1","1","4","","","32","3","5","4","4","5","60","I feel left behind because it seems like people like me are left to fend for ourselves. We don’t really make enough to get by these days, or at least not without almost drowning, but we aren’t destitute enough to get any kind of assistance. ","2","5","1","5","2","2","2","3","1","1","1","1","7","5","7","7","7","1","1","1","1","4","1","2","","Dunkin","","Democratic Party","Republican Party","","woman","White","","","","","","","","$80,001-$100,000","4yearColl","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)"
"FB409hc","0","100","546","1","1","4","","","69","1","5","5","1","3","61","When I look around, and see other Americans, I am struck by the fact that so many people have so much money. For example, some people can routinely pay for unexpected veterinary services for their pet which can cost upwards of $10,000, whereas I cannot and had to have my pet put to sleep because she had a tumor and I could not afford to have it treated. I cannot get credit, and no one would help.
","4","1","1","6","1","2","2","2","2","2","4","1","7","7","6","4","4","3","2","2","4","4","2","4","","Five Guys","","Democratic Party","Republican Party","","man","White","","","","","","","","$100,001-$120,000","4yearColl","Democrat","","Strong","","","Kamala Harris (Democratic Party)"
"VM013eb","0","100","356","1","1","4","","","25","1","5","","","5","57","I think being left behind to me is how everyone is progressing through life. Everyone around me is working 'grown up' jobs and working full time. I don't have that, I have a self employed job that doesn't pay as much as those around me. I feel left behind because of that.","7","1","1","2","1","1","1","1","1","1","2","6","4","7","7","6","4","1","3","1","3","4","1","2","","Culvers","","Democratic Party","Republican Party","","woman","White","","","","","","","","$60,001-$80,000","GED","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)"
"SW974qp","0","100","436","1","1","4","","","55","2","4","4","1","4","15","Everyone's needs get met but mine. People pander to special interest groups like certain religions. Meanwhile, I am told it is okay to kill Jews on the streets of DC. As an older woman, I am told to shut up and go away. Neither party cares much about the ordinary working person but Republicans are actively working against us. I'm just so tired of it. The planet's being polluted but I""m sure supposed to care deep a man in a dress was told to keep out of women's sports. The world is nuts. ","6","5","6","2","2","1","1","1","1","1","4","4","5","4","6","6","7","2","2","3","2","4","2","3","","taco bell","","Democratic Party","Republican Party",", if any,","woman","White","","","","","","","","$160,001-$180,000","4yearColl","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)"
"WH640ds","0","100","169","1","1","4","","","47","1","2","1","4","2","83","I feel like everyone else is out living their best lives and I'm just stuck.  I don't really do the same things that other people do.  I just keep to myself and I feel like my life is not really full of purpose.  I don't feel that I have much to attain or reach for.","6","1","6","1","1","1","1","1","1","1","4","5","6","5","7","7","6","1","1","1","1","3","1","2","","Arby's","","Democratic Party","Republican Party","","woman","White","","","","","","","","$20,001-$40,000","4yearColl","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)"
"HF627ps","0","100","392","1","1","4","","","34","6","2","1","6","1","40","I might feel left behind if people with other immutable characteristics are being promoted over me simply due to those characteristics.  I have occasionally encountered this.  I might also feel left behind if other sectors of the economy are given preferential governmental treatment (tax cuts, subsidies, etc.), while mine languishes.  I also feel left behind when AI is taking over a large portion of my field of work.","1","3","5","5","2","1","1","1","1","1","3","5","1","2","5","6","7","2","2","2","3","3","2","2","","Popeye's","N/A","Republican Party","Democratic Party",", if any,","man","White","","","","","","","","$60,001-$80,000","MA","Independent","","","","Closer to Republican","Donald Trump (Republican Party)"
"JR524ii","0","100","689","1","1","4","","","51","5","4","4","5","4","60","I'm 51 years old. As I grow older, and faced with the obstacles of mounting debt accrued while struggling to raise a family (wife and two kids), living paycheck-to-paycheck, I realize how tenuous and fleeting ""the American dream' seems. I'm thankful that I have the basic staples in life -- a roof over our heads, food on the table, at least for the time being -- but that feeling of security and safety that comes with material prosperity seems just out of reach. The recognition that we're only a medical emergency or catastrophe away from homelessness. Likewise, I realize at my age that I face numerous obstacles in advancing my career -- were I to lose my present job, I'd be competing with generations much younger than I. Add to that the utilitarian advancements made in AI that threaten to strip away so many jobs besides, and yes, I feel left behind, or on the cusp of being such.","2","3","2","6","1","","","","","","4","7","5","6","5","5","5","2","2","2","3","3","2","3","","Taco Bell","To be clear, I was a Republican and voted consistently conservative/GOP until 2016. While still identifying myself as a conservative and adhere to some conservative principles, I no longer recognize the GOP and its members, and consider true conservativism to be entirely at odds with the MAGA movement and authoritarian presidency of Donald Trump. I guess you could say in addition to my economic concerns, there is a political and ideological sense as well that I feel very much ""left behind.""","Non-Partisan","Non-Partisan","","man","White","","","","","","","","$100,001-$120,000","4yearColl","Independent","","","","Neither","Kamala Harris (Democratic Party)"
"SR919qq","0","100","380","1","1","4","","","71","7","1","2","7","2","5","I do not feel left behind. This  phrase implies that others moved ahead while I didn't. I feel the opposite. I am literate, financially comfortable and curious about science and the arts, If others have left me ""behind"" I am glad they did. I have overcome difficult challenges in my life which have made me resilient and strong.","4","1","6","4","4","4","4","4","4","5","4","2","7","6","7","4","4","4","2","2","2","4","2","2","","Pollo Loco","","Democratic Party","Republican Party",", if any,","man","White","Hispanic, Latino, or Spanish origin","","","","","","","Over $200,000","4yearColl","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)"
"LB035hp","0","100","666","1","1","4","","","63","7","2","2","","","1","Feeling left behind to me means not moving in same pace with others in same social group and feeling like you are less.","6","2","2","6","3","1","1","1","1","1","7","7","7","1","5","5","5","5","3","3","3","3","3","3","","KFC","","Republican Party","Democratic Party",", if any,","man","White","","","","","","","","$80,001-$100,000","4yearColl","Republican","","","Strong","","Donald Trump (Republican Party)"
"KN331zm","0","100","586","1","1","4","","","46","5","4","1","2","1","30","For me, it has to do with being laid off recently and then joining the job hunt. It has felt very daunting and almost impossible at times. In fact, I aced one interview, and the company even told me I did and they loved me, thought I was amazing, and gave the most insightful answers. Still, there were going to pause me as a candidate. So, it felt like I had done everything right, and the company loved me, but they still weren't going to hire me. It felt like a gut punch because what else could I have done to get the job? Nothing according ot them, so what hope is there if I do everything right, have the right experience, but people won't hire me. ","1","2","1","6","1","2","2","3","4","1","3","2","2","1","3","6","6","2","1","1","3","2","1","1","","Chik-fla","","Republican Party","Democratic Party",", if any,","woman","White","","","","","","","","$100,001-$120,000","PHD","Independent","","","","Closer to Republican","Donald Trump (Republican Party)"
"KI255uh","0","100","578","1","1","4","","","49","3","2","2","","","10","Being left behind might feel like not having enough government officials that represent the special need of your ethnic community. So lawmakers would enact policies that may exclude certain communities or have adverse effects on their way of living or receiving services. ","3","3","4","4","3","2","2","2","2","2","3","4","4","5","6","4","4","5","2","2","3","3","2","3","","McDonald's","","Democratic Party","Republican Party",", if any,","man","","","","Asian","","","","","$60,001-$80,000","4yearColl","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)"
"AR459ei","0","100","326","1","1","4","","","54","3","6","2","2","2","65","That no one cares for you and you are placed into a corner and forgotten and neglected.  Similar to the NAtive Americans.  Services are at best minimal, concerns barely addressed.  You are behind the times in technology and medicine.  You feel invisible to those in other social classes and demographics. ","4","4","2","5","2","3","3","3","4","3","3","5","5","5","7","5","4","4","2","2","2","3","2","3","","subways","","Democratic Party","Republican Party","","man","White","","","","","","","","$0-$20,000","4yearColl","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)"
"FZ844rf","0","100","421","1","1","4","","","50","","5","7","","7","61","Not having the same or even close to the number of opportunities as one certain group in this country. Lack of access to jobs and education greatly hurt my chances of success so yes I feel left behind","1","5","4","4","2","4","2","2","2","4","3","1","7","7","7","7","7","2","2","2","2","4","2","2","","Wendys","","Democratic Party","Republican Party","","man","","","Black or African American","","","","","","$20,001-$40,000","GED","Democrat","","Strong","","","Kamala Harris (Democratic Party)"
"TE096nn","0","100","612","1","1","4","","","26","1","4","6","5","7","50","To some extent I can feel being left behind because it seems like a struggle to maintain what I do and continue my career. However, I don't feel alone due to friends and family being in similar struggles to me and feelings of alienation. I also feel just in general there will always be struggle and I am passionate about what I want to do and would continue to keep doing it even if I am the only one who believes in it. ","4","4","4","6","4","","","","","","2","3","6","7","7","7","5","1","1","1","2","4","1","1","","Sonic's","None","Non-Partisan","Non-Partisan","","man","","","","Asian","","","","","$60,001-$80,000","GED","Independent","","","","Neither","Kamala Harris (Democratic Party)"
"HL901lr","0","100","393","1","1","4","","","33","6","","","4","","22","Left out of things. Less fortunate to have things that others may have that I don’t. Feeling cheated out of life in certain aspects. Money, growth, etc. ","4","1","1","4","4","4","2","2","4","5","5","4","4","4","5","5","6","6","2","2","2","2","3","2","","Chipotle ","","Republican Party","Democratic Party",", if any,","woman","White","","","","","","","","$0-$20,000","GED","Republican","","","Not very strong","","Donald Trump (Republican Party)"
"IL272mv","0","100","328","1","1","4","","","27","6","1","1","6","1","60","The world is moving around me and I'm just kind of sitting in the same spot i always have watching it all fly by","5","2","2","6","1","1","1","2","4","1","2","5","1","1","4","5","5","2","2","1","2","3","1","1","","Popeyes","","Republican Party","Democratic Party","","man","White","","","","","","","","$40,001-$60,000","GED","Republican","","","Not very strong","","Donald Trump (Republican Party)"
"JV266fd","0","100","560","1","1","4","","","49","6","2","1","2","","60","Feeling 'left behind' means that I can not reasonable keep up with the pace of life, including career, technology, and finances, which move faster. For example, I noted that my colleagues advance or adopt new tools but I am still juggling day-to-day demands and stretched budgets. I must admit that I cannot get along with this pace even though I have tried.","2","2","2","6","4","2","1","1","4","2","5","5","6","2","6","4","4","5","3","3","4","3","3","3","","Chick-fil-A","none","Republican Party","Democratic Party","","man","","","","Asian","","","","","$140,001-$160,000","PHD","Republican","","","Not very strong","","Donald Trump (Republican Party)"
"NS006zv","0","100","343","1","1","4","","","34","6","1","1","2","","7","In my own life I guess feeling left behind could me that I have shifted chapters in my life. I am currently a Stay at home mom with a part-time job, but sometimes I feel like because of being a stay-at-home mom, I have been left behind in my career. Some of my friends have Avanced so far in their careers, when I am currently ""stuck"" in this chapter. Although this is exactly where I want to be, feeling like you are left behind is sometimes raw. Makes you feel like you haven't accomplished as much as maybe you should have. ","6","1","2","1","6","2","4","4","2","4","5","3","4","2","4","5","6","2","1","1","1","1","1","1","","Chick fil-a","","Republican Party","Democratic Party",", if any,","woman","White","","","","","","","","$100,001-$120,000","4yearColl","Republican","","","Strong","","Donald Trump (Republican Party)"
"CF012iz","0","100","587","1","1","4","","","31","1","5","5","1","6","31","I feel left behind when I think of the promises that various pieces of landmark legislation are poorly enforced or have been vacated in the last 8 years. It's depressing to think about how far the climate on civil rights and individual privacy have been eroded. I feel left behind in comparison to age peers in other countries. On a more personal level, I feel left behind when I think about how my physical and mental health have precluded me from pursuing similar developmental goals as my age peers in this country regardless of ethnic group.","4","3","6","4","1","1","1","4","2","3","5","3","7","7","7","6","5","5","1","3","2","4","2","3","","Popeye's","","Democratic Party","Republican Party",", if any,","woman","","","Black or African American","","","","","","$60,001-$80,000","MA","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)"
"YO500ke","0","100","478","1","1","4","","","45","7","1","1","1","1","0","It's seeing others while I lag. I feel it pauses my career, finances and long distance relationships and even keeping up with music trends. Mostly from limited time, money and energy. ","4","1","4","4","4","4","4","4","7","4","4","6","1","1","4","7","7","1","2","1","2","3","2","1","","Subway","","Republican Party","Democratic Party",", if any,","man","White","","","","","","","","$60,001-$80,000","4yearColl","Republican","","","Strong","","Donald Trump (Republican Party)"
"GM461qv","0","100","408","1","1","4","","","55","4","3","3","3","5","0","I don't feel left behind. I guess if I were left behind in something it would be socially since I don't have a lot of friends. I have a few and that is all that I need, but I am not really in the social flow of the world.","7","1","7","1","5","","","","","","3","5","6","5","5","3","3","3","2","2","3","3","2","2","","subway","","Non-Partisan","Non-Partisan",", if any,","woman","White","","","","","","","","$100,001-$120,000","4yearColl","Independent","","","","Neither","Donald Trump (Republican Party)"
"XA323ri","0","100","663","1","1","4","","","43","6","2","","","","31","I do not feel as though I have been ""left behind"". I believe I have been given the same opportunities as everyone else and any of my short comings have been due to my own choices. ","7","1","3","4","4","1","2","2","2","2","5","3","5","2","4","3","4","4","3","3","3","3","3","3","","Costa Vida","","Republican Party","Democratic Party",", if any,","woman","White","","","","","","","","$60,001-$80,000","GED","Republican","","","Strong","","Donald Trump (Republican Party)"
"FG436ku","0","100","649","1","1","4","","","70","1","4","3","1","5","0","I do not feel left behind because my life is a result of my choices, no one forced me to do anything, I was raised by loving parents who taught me well, Therefore I do not feel I have ever been left behind, I believe people who feel left behind need to do a self evaluation,","7","2","6","2","6","2","2","2","2","7","4","6","6","6","6","3","3","3","1","2","3","4","2","2","","Burger King","","Democratic Party","Republican Party",", if any,","woman","White","","","","","","","","$40,001-$60,000","2yearColl","Democrat","","Strong","","","Kamala Harris (Democratic Party)"
"KC864lx","0","100","737","1","1","4","","","43","6","1","1","4","1","13","I don't really feel life behind in society. I honestly feel like this phrase is used as an excuse for falling short of your own goals and expectations in life. ","7","1","4","4","4","1","1","1","1","1","3","6","1","1","3","6","5","5","1","1","2","3","1","1","","Wendy's","","Republican Party","Democratic Party",", if any,","man","White","","","","","","","","$140,001-$160,000","4yearColl","Republican","","","Not very strong","","Donald Trump (Republican Party)"
"GZ031of","0","100","742","1","1","4","","","49","1","5","4","2","5","70","I have two disabled children. When friends were getting their advanced degrees, getting married, having ""typical"" children, I was the primary caregiver to two medically fragile children that need round the clock care. My friends would barely blink and expect normal conversation, me to celebrate them and their kids but with the reciprocity of understand or celebrating mine. The rumor is I drifted away from the group because I'm selfish and don't appreciate what I have. These are the people that if they see me and my child in at Target, will turn and walk away because confronting an old friend and their obviously disabled child is too much for them.","3","1","7","2","3","1","1","1","2","2","3","1","5","6","7","7","7","3","1","2","3","4","1","2","","Sonic","","Democratic Party","Republican Party","","woman","White","","","","","","","","$60,001-$80,000","4yearColl","Democrat","","Strong","","","Kamala Harris (Democratic Party)"
