"PID","Status","StartDate","Progress","Duration..in.seconds.","Finished","consent","gender_.99_TEXT","race_8_TEXT","age","feedback","Election","CAND_1","CAND_2","RACETYPE","vote_who","vote_who_3_TEXT","vote_who_nyc","vote_who_nyc_8_TEXT","gender","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","income","edu"
"BY583tb","0","2025-11-05 11:13:39","100","49","1","1","","","53","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","","","Black or African American","","","","","","$180,001-$200,000","GED"
"LG416km","0","2025-11-05 11:15:03","100","65","1","1","","","43","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","${e://Field/CAND_1}","","","","man","White","","","","","","","","$20,001-$40,000","4yearColl"
"SK441vn","0","2025-11-05 11:16:23","100","29","1","1","","","29","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$80,001-$100,000","GED"
"ZE827ci","0","2025-11-05 11:17:11","100","25","1","1","","","21","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","Curtis Sliwa","","woman","White","","","","","","","","$160,001-$180,000","GED"
"IV400gm","0","2025-11-05 11:18:01","100","21","1","1","","","42","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","White","","","","","","","","Over $200,000","4yearColl"
"YZ196qz","0","2025-11-05 11:28:24","100","22","1","1","","","37","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$160,001-$180,000","4yearColl"
"ZX324eo","0","2025-11-05 11:32:14","100","41","1","1","","","20","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","${e://Field/CAND_1}","","","","man","White","","","","","","","","$120,001-$140,000","GED"
"UM025ug","0","2025-11-05 11:44:07","100","27","1","1","","","38","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","${e://Field/CAND_1}","","","","woman","White","","","","","","","","$20,001-$40,000","2yearColl"
"OM966so","0","2025-11-05 11:44:13","100","30","1","1","","","20","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","","","","Asian","","","","","$120,001-$140,000","GED"
"LA994xh","0","2025-11-05 11:47:42","100","28","1","1","","","25","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","","","","","woman","White","","","","","","","","$0-$20,000","2yearColl"
"EL437nv","0","2025-11-05 12:07:52","100","47","1","1","","","37","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","White","","","","","","","","$80,001-$100,000","4yearColl"
"IO105nh","0","2025-11-05 12:09:42","100","29","1","1","","","41","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","White","","","","","","","","$80,001-$100,000","4yearColl"
"XP326sf","0","2025-11-05 12:21:36","100","23","1","1","","","40","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","White","","","","","","","","Over $200,000","MA"
"IO207kh","0","2025-11-05 12:24:16","100","33","1","1","","","39","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","","","","","man","White","","","","","","","","$40,001-$60,000","GED"
"KF594ew","0","2025-11-05 12:26:40","100","23","1","1","","","40","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$80,001-$100,000","GED"
"XN343vk","0","2025-11-05 12:26:14","100","71","1","1","","","47","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","${e://Field/CAND_2}","","","","woman","White","","","","","","","","Over $200,000","2yearColl"
"HR188kp","0","2025-11-05 12:31:38","100","25","1","1","","","39","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","","","Black or African American","","","","","","$20,001-$40,000","4yearColl"
"GS510ar","0","2025-11-05 12:33:07","100","28","1","1","","","43","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_2}","","man","","","","Asian","","","","","$0-$20,000","GED"
"ZW321fv","0","2025-11-05 12:33:54","100","28","1","1","","","40","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","${e://Field/CAND_2}","","","","man","White","","","","","","","","$140,001-$160,000","4yearColl"
"GD694ll","0","2025-11-05 12:36:44","100","21","1","1","","","25","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","${e://Field/CAND_2}","","","",NA,"White","","","","","","","","$60,001-$80,000","MA"
"KF682fd","0","2025-11-05 12:43:08","100","22","1","1","","","24","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","${e://Field/CAND_1}","","","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$100,001-$120,000","4yearColl"
"DS536hq","0","2025-11-05 12:42:48","100","44","1","1","","","30","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","White","","","","","","","","$100,001-$120,000","MA"
"NV515fj","0","2025-11-05 12:43:22","100","22","1","1","","","22","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$80,001-$100,000","4yearColl"
"FI674ao","0","2025-11-05 12:45:08","100","40","1","1","","","50","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","","","Black or African American","","","","","","$40,001-$60,000","GED"
"TD449ms","0","2025-11-05 12:45:34","100","24","1","1","","","28","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","White","","","","","Middle Eastern or North African","","","$80,001-$100,000","PHD"
"PK786lg","0","2025-11-05 12:47:22","100","24","1","1","","","24","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","","","","Asian","","","","","$40,001-$60,000","4yearColl"
"WE625gl","0","2025-11-05 12:49:45","100","23","1","1","","","27","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","I have not voted","","man","","","","Asian","","","","","$40,001-$60,000","2yearColl"
"UZ019lc","0","2025-11-05 12:50:28","100","43","1","1","","","29","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$20,001-$40,000","GED"
"EX906qa","0","2025-11-05 12:52:43","100","28","1","1","","","54","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","Over $200,000","MA"
"CY116bf","0","2025-11-05 12:54:41","100","27","1","1","","","28","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","","Hispanic, Latino, or Spanish origin","","","","","","","$60,001-$80,000","4yearColl"
"OV955gw","0","2025-11-05 12:54:54","100","42","1","1","","","62","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","","","","Asian","","","","","$40,001-$60,000","4yearColl"
"XU283xr","0","2025-11-05 12:56:11","100","21","1","1","","","33","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","Hispanic, Latino, or Spanish origin","","","","","","","$20,001-$40,000","GED"
"JG291mn","0","2025-11-05 12:59:02","100","26","1","1","","","29","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$80,001-$100,000","4yearColl"
"HH180tr","0","2025-11-05 13:00:26","100","50","1","1","","","29","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","man","White","","","","","","","","$60,001-$80,000","GED"
"MS118bf","0","2025-11-05 13:00:44","100","34","1","1","","","56","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","","","Black or African American","","","","","","$20,001-$40,000","GED"
"LH193lf","0","2025-11-05 13:07:02","100","29","1","1","","","37","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","","","","","man","White","","","","","","","","$40,001-$60,000","GED"
"HE907aa","0","2025-11-05 13:15:49","100","32","1","1","","","45","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$160,001-$180,000","4yearColl"
"UA503vj","0","2025-11-05 13:23:48","100","23","1","1","","","33","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","I have not voted","","woman","White","","","Asian","","","","","$0-$20,000","4yearColl"
"BH598wn","0","2025-11-05 13:35:46","100","190","1","1","","","28","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_2}","","woman","","","Black or African American","","","","","","$100,001-$120,000","MA"
"RP209bc","0","2025-11-05 13:42:01","100","30","1","1","","","32","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_2}","","woman","White","","","","","","","","Over $200,000","GED"
"YM921yk","0","2025-11-05 13:46:50","100","28","1","1","","","41","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","I have not voted","","woman","","","","Asian","","","","","Over $200,000","MA"
"AI279ov","0","2025-11-05 13:46:58","100","31","1","1","","","64","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","White","","","","","","","","$60,001-$80,000","GED"
"GM123dk","0","2025-11-05 13:47:23","100","32","1","1","","","57","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","man","White","","","","","","","","$20,001-$40,000","4yearColl"
"VI941pa","0","2025-11-05 13:49:36","100","26","1","1","","","40","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","woman","White","","","","","","","","$100,001-$120,000","MA"
"FY947ss","0","2025-11-05 13:49:57","100","52","1","1","","Biracial -- white and Latina","23","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","Hispanic, Latino, or Spanish origin","","","","","","Other (please specify)","Over $200,000","2yearColl"
"FX863st","0","2025-11-05 13:50:30","100","68","1","1","","","37","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","","","","","woman","White","","","","","","","","$40,001-$60,000","4yearColl"
"VW091tw","0","2025-11-05 14:01:18","100","26","1","1","","","29","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","","","","","woman","White","","","","","","","","Prefer not to answer","4yearColl"
"NF125ia","0","2025-11-05 14:01:57","100","35","1","1","","","43","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","White","","","","","","","","$160,001-$180,000","4yearColl"
"UZ950jz","0","2025-11-05 14:03:53","100","169","1","1","","","49","None","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","Curtis Sliwa","","man","","","Black or African American","","","","","","$0-$20,000","2yearColl"
"YM126yg","0","2025-11-05 14:08:07","100","56","1","1","","","35","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","","","Black or African American","","","","","","$40,001-$60,000","MA"
"JK412tj","0","2025-11-05 14:07:56","100","81","1","1","","","27","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","","","","Asian","","","","","Prefer not to answer","MA"
"QH964vf","0","2025-11-05 14:13:33","100","55","1","1","","","61","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$160,001-$180,000","2yearColl"
"BG499tc","0","2025-11-05 14:14:52","100","40","1","1","","","27","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","I have not voted","","man","","Hispanic, Latino, or Spanish origin","","","","","","","Prefer not to answer","4yearColl"
"QB795tk","0","2025-11-05 14:14:29","100","109","1","1","","","38","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","${e://Field/CAND_2}","","","","woman","","","","Asian","","","","","$20,001-$40,000","4yearColl"
"RT413zu","0","2025-11-05 14:24:38","100","20","1","1","","","27","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_2}","","man","","","","Asian","","","","","$20,001-$40,000","4yearColl"
"UN128fx","0","2025-11-05 14:23:33","100","132","1","1","","","60","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_2}","","man","","","Black or African American","","","","","","$40,001-$60,000","4yearColl"
"OV648vo","0","2025-11-05 14:28:00","100","30","1","1","nonbinary","","28","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","",NA,"White","","","","","","","","Prefer not to answer","4yearColl"
"UP155xb","0","2025-11-05 14:30:59","100","28","1","1","","","48","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$80,001-$100,000","MA"
"RE637zp","0","2025-11-05 14:30:51","100","43","1","1","","","42","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","woman","White","","","","","","","","$80,001-$100,000","GED"
"GJ702jq","0","2025-11-05 14:31:17","100","47","1","1","","","26","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","","","","","woman","","","Black or African American","","","","","","$80,001-$100,000","4yearColl"
"SX692vo","0","2025-11-05 14:32:50","100","67","1","1","","","33","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","I have not voted","","woman","","","Black or African American","","","","","","$0-$20,000","GED"
"KC629zs","0","2025-11-05 14:34:40","100","53","1","1","","","26","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","White","","","","","","","","$60,001-$80,000","2yearColl"
"YL230nv","0","2025-11-05 14:47:36","100","80","1","1","","","51","I'm glad Zohran won. Let's hope he has what it takes, and has the backing of those who support him, to make New York City a better place for ALL of us.","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","White","","","","","","","","$100,001-$120,000","4yearColl"
"NT400hp","0","2025-11-05 14:49:06","100","65","1","1","","","61","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_2}","","woman","","","Black or African American","","","","","","$80,001-$100,000","4yearColl"
"OL666ho","0","2025-11-05 14:59:57","100","53","1","1","","","55","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","","","","Asian","","","","","$180,001-$200,000","PHD"
"CB219ub","0","2025-11-05 15:02:16","100","49","1","1","","","42","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","","","Black or African American","","","","","","$20,001-$40,000","GED"
"EY131ph","0","2025-11-05 15:03:47","100","24","1","1","","","35","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","","","","","man","White","","","","","","","","$140,001-$160,000","4yearColl"
"XN784lr","0","2025-11-05 15:30:11","100","36","1","1","","","42","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$100,001-$120,000","4yearColl"
"IA142yj","0","2025-11-05 15:32:50","100","147","1","1","","","52","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","${e://Field/CAND_1}","","","","man","White","","","","","","","","$140,001-$160,000","MA"
"JW435dh","0","2025-11-05 15:35:47","100","23","1","1","","","30","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","","","","","man","White","","","","","","","","$180,001-$200,000","4yearColl"
"WE401ji","0","2025-11-05 15:40:06","100","23","1","1","","","29","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","woman","White","","","","","","","","$60,001-$80,000","GED"
"DQ069wy","0","2025-11-05 15:46:03","100","29","1","1","","","52","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","woman","White","","","","","","","","Over $200,000","4yearColl"
"RL705pj","0","2025-11-05 15:48:19","100","21","1","1","","","28","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","White","","","","","","","","$120,001-$140,000","4yearColl"
"DW922fw","0","2025-11-05 15:52:55","100","47","1","1","","","31","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","","","Black or African American","","","","","","$100,001-$120,000","4yearColl"
"MX534mo","0","2025-11-05 16:03:30","100","38","1","1","","","36","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","","","Black or African American","","","","","","$0-$20,000","GED"
"FV579kz","0","2025-11-05 16:10:36","100","151","1","1","","","48","Was excited to see Mikie win! The democrats had a big night with the New York and Virginia win. Showing the leader in the White House were done with the nonsense. Thanks for the study!","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","Hispanic, Latino, or Spanish origin","","","","","","","$60,001-$80,000","2yearColl"
"KP048hr","0","2025-11-05 16:18:27","100","34","1","1","","","31","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","Curtis Sliwa","","man","","","Black or African American","","","","","","$80,001-$100,000","2yearColl"
"PQ031ja","0","2025-11-05 16:46:40","100","48","1","1","","","61","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","White","","","","","","","","$40,001-$60,000","GED"
"XF345ze","0","2025-11-05 16:48:25","100","46","1","1","","","47","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$40,001-$60,000","GED"
"UO172lx","0","2025-11-05 16:55:18","100","31","1","1","","","57","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","Over $200,000","PHD"
"MI393gs","0","2025-11-05 17:10:09","100","23","1","1","","","24","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","White","","","","","","","","$60,001-$80,000","4yearColl"
"BY783me","0","2025-11-05 17:13:20","100","40","1","1","","","20","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","","","Black or African American","","","","","","$60,001-$80,000","2yearColl"
"IY928uq","0","2025-11-05 17:15:24","100","27","1","1","","","25","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","","","","","man","White","","","","","","","","$60,001-$80,000","GED"
"TQ280bm","0","2025-11-05 17:16:37","100","39","1","1","","","48","Thank you ","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","White","","","","","","","","$60,001-$80,000","GED"
"NX382mv","0","2025-11-05 17:22:42","100","32","1","1","","","62","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$60,001-$80,000","2yearColl"
"MV815xy","0","2025-11-05 17:18:19","100","714","1","1","","","38","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","","","Black or African American","","","","","","$0-$20,000","GED"
"SS094in","0","2025-11-05 17:34:20","100","22","1","1","","","32","no","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","White","","","","","","","","$120,001-$140,000","MA"
"XS215nv","0","2025-11-05 17:32:59","100","106","1","1","","","40","Thank you! ","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","","","","","woman","","","Black or African American","","American Indian or Alaska Native","","","","$20,001-$40,000","GED"
"AN157kw","0","2025-11-05 17:37:41","100","22","1","1","","","31","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","","","","Asian","","","","","$20,001-$40,000","GED"
"HB190ln","0","2025-11-05 17:42:50","100","201","1","1","","","21","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_2}","","man","White","","","","","","","","Over $200,000","GED"
"WX707gp","0","2025-11-05 17:51:09","100","85","1","1","","","24","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","I have not voted","","woman","White","","","","","","","","$20,001-$40,000","GED"
"WW726jb","0","2025-11-05 17:54:58","100","67","1","1","","","49","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","man","White","","","","","","","","$80,001-$100,000","GED"
"NC289vo","0","2025-11-05 18:18:22","100","66","1","1","","","31","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","","","Black or African American","","","","","","$140,001-$160,000","MA"
"EA419gv","0","2025-11-05 18:21:46","100","120","1","1","","","34","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","","","","","woman","","","Black or African American","","","","","","$80,001-$100,000","GED"
"MR401rq","0","2025-11-05 18:30:25","100","60","1","1","","","49","Sadly the candidate I voted for did not win. I am a bit concerned about the continued ongoing status of NYC with our new mayor.","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_2}","","woman","White","","","","","","","","Over $200,000","MA"
"IU556ku","0","2025-11-05 18:35:10","100","29","1","1","","","48","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","","","","Asian","","","","","$120,001-$140,000","4yearColl"
"UT345jp","0","2025-11-05 18:33:10","100","440","1","1","","","29","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","man","White","","","","","Middle Eastern or North African","","","$40,001-$60,000","MA"
"CP362pr","0","2025-11-05 18:44:22","100","32","1","1","","","36","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","man","White","","","","","","","","$20,001-$40,000","4yearColl"
"QN054pv","0","2025-11-05 18:45:13","100","41","1","1","","","30","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","","","Black or African American","","","","","","$0-$20,000","GED"
"FP918gi","0","2025-11-05 18:49:33","100","32","1","1","","","26","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","","","Black or African American","","","","","","$80,001-$100,000","PHD"
"WH514vw","0","2025-11-05 18:50:53","100","60","1","1","","","73","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","","","Black or African American","","","","","","$140,001-$160,000","GED"
"TP854ds","0","2025-11-05 19:03:17","100","58","1","1","","","27","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","","","Black or African American","","","","","","$60,001-$80,000","4yearColl"
"XF498fv","0","2025-11-05 19:09:50","100","25","1","1","","","29","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$60,001-$80,000","4yearColl"
"IP190pk","0","2025-11-05 19:40:26","100","53","1","1","","","20","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","woman","White","","","","","","","","$140,001-$160,000","GED"
"BL932po","0","2025-11-05 19:46:08","100","41","1","1","","","19","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$60,001-$80,000","GED"
"JV335zt","0","2025-11-05 20:04:57","100","40","1","1","","","38","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$160,001-$180,000","4yearColl"
"MS886wg","0","2025-11-05 20:35:34","100","170","1","1","","Indigenous American","62","There is a lot going on in Minnesota and the country that makes it difficult to not only focus on the election, but also to find the time to vote. That said, I would not cast my vote for either of the two candidates listed. Thank you for the opportunity to participate!","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","","","","","man","","","","","","","","Other (please specify)","$0-$20,000","2yearColl"
"WB411lt","0","2025-11-05 20:45:15","100","50","1","1","","","40","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","woman","White","","","","","","","","$140,001-$160,000","GED"
"BY458ns","0","2025-11-05 20:50:46","100","56","1","1","","","41","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$20,001-$40,000","GED"
"OG689mh","0","2025-11-05 20:53:25","100","44","1","1","","","29","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","","","","Asian","","","","","$40,001-$60,000","4yearColl"
"DM778fc","0","2025-11-05 20:59:06","100","67","1","1","","","48","N/A","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_2}","","woman","","","Black or African American","","","","","","$140,001-$160,000","2yearColl"
"CT156ny","0","2025-11-05 21:25:15","100","19","1","1","","","26","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_2}","","man","White","","","","","","","","$100,001-$120,000","4yearColl"
"JI044in","0","2025-11-05 21:43:47","100","40","1","1","","","68","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","${e://Field/CAND_1}","","","","woman","White","","","","","","","","$140,001-$160,000","4yearColl"
"FZ232wi","0","2025-11-05 21:45:13","100","48","1","1","","","49","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","woman","White","","","","","","","","$80,001-$100,000","GED"
"NF230az","0","2025-11-05 21:49:24","100","29","1","1","","","38","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","man","White","","","","","","","","$160,001-$180,000","4yearColl"
"IV084kh","0","2025-11-05 21:53:38","100","32","1","1","","","39","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","White","","Black or African American","","","","","","$120,001-$140,000","4yearColl"
"RH292ze","0","2025-11-05 21:57:51","100","22","1","1","","","32","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","","","","","","Middle Eastern or North African","","","Over $200,000","PHD"
"OS223wz","0","2025-11-05 21:58:57","100","32","1","1","","","52","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","woman","White","","","","","","","","$100,001-$120,000","GED"
"HT643re","0","2025-11-05 22:01:53","100","38","1","1","","","30","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$40,001-$60,000","MA"
"XO306rv","0","2025-11-05 22:37:58","100","34","1","1","","","23","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","Over $200,000","MA"
"JA045fl","0","2025-11-05 22:38:34","100","29","1","1","","","36","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","${e://Field/CAND_1}","","","","woman","","","","","American Indian or Alaska Native","","","","$20,001-$40,000","GED"
"FD680rk","0","2025-11-05 23:01:34","100","49","1","1","","","45","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","","Hispanic, Latino, or Spanish origin","","","","","","","$60,001-$80,000","MA"
"NI790xj","0","2025-11-05 23:52:36","100","31","1","1","","","36","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$80,001-$100,000","MA"
