"PID","Status","Progress","Duration..in.seconds.","Finished","consent","ideo","gender_.99_TEXT","race_8_TEXT","age","lebe_cont_1","check_2","feedback","cond","noparty.1","outparty.1","inparty.1","noparty_party","gender","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","income","edu","party_gen","party_gen_5_TEXT","party_dem","party_rep","party_ind","outparty","inparty","noparty"
"QU484mt","0","100","83","1","1","7","","","45","24","purple","","outparty","0","Democratic","Depublican","","woman","White","","","","","","","","Over $200,000","GED","Republican","","","Strong","","CANDIDATE B","",""
"LL644on","0","100","130","1","1","2","","","58","0","Purple","","inparty","0","Republican","Democratic","","woman","White","","","","","","","","$80,001-$100,000","4yearColl","Democrat","","Strong","","","","CANDIDATE B",""
"DB156xp","0","100","269","1","1","2","","","61","30","Salmon","None","inparty","0","Republican","Democratic","","man","","","Black or African American","","","","","","$40,001-$60,000","2yearColl","Democrat","","Strong","","","","CANDIDATE B",""
"OQ337fg","0","100","48","1","1","5","","","24","87","blue","","outparty","0","Democratic","Depublican","","woman","White","","","","","","","","$40,001-$60,000","4yearColl","Republican","","","Not very strong","","CANDIDATE A","",""
"XG050zz","0","100","98","1","1","5","","","42","20","pink","","inparty","0","Democratic","Depublican","","woman","White","","","","","","","","$140,001-$160,000","4yearColl","Republican","","","Not very strong","","","CANDIDATE A",""
"VQ832bm","0","100","72","1","1","4","","","39","11","green","","inparty","0","Democratic","Republican","","woman","White","","","","","","","","$80,001-$100,000","2yearColl","Independent","","","","Closer to Republican","","CANDIDATE B",""
"WP733yz","0","100","148","1","1","6","","","70","0","blue","none","outparty","0","Democratic","Depublican","","man","White","","","","","","","","$160,001-$180,000","PHD","Republican","","","Not very strong","","CANDIDATE A","",""
"QO695wj","0","100","77","1","1","5","","","27","39","Blue","","outparty","0","Democratic","Depublican","","man","","","","Asian","","","","","Over $200,000","4yearColl","Republican","","","Not very strong","","CANDIDATE A","",""
"AM438pl","0","100","117","1","1","1","","","38","0","Blue","What was the favorite color question about? It seemed like an attention check, but I didn't identify any contradictory instructions ","inparty","0","Republican","Democratic","","man","White","","","","","","","","$120,001-$140,000","4yearColl","Independent","","","","Closer to Democratic","","CANDIDATE B",""
"TJ887vy","0","100","92","1","1","6","","","65","54","Blue","","inparty","0","Democratic","Depublican","","man","White","","","","","","","","$80,001-$100,000","MA","Republican","","","Not very strong","","","CANDIDATE A",""
"XA318va","0","100","85","1","1","5","","","25","21","Blue","","inparty","0","Democratic","Depublican","","man","White","","","","","","","","$60,001-$80,000","4yearColl","Republican","","","Not very strong","","","CANDIDATE A",""
"DU494mu","0","100","97","1","1","5","","","43","100","blue","","outparty","0","Democratic","Depublican","","woman","White","","","","","","","","$0-$20,000","MA","Republican","","","Not very strong","","CANDIDATE B","",""
"QW037yd","0","100","74","1","1","6","","","53","25","Blue","","outparty","0","Democratic","Depublican","","man","White","","","","","","","","$80,001-$100,000","GED","Republican","","","Strong","","CANDIDATE B","",""
"RM825no","0","100","46","1","1","1","","","30","48","Blue","","inparty","0","Republican","Democratic","","man","White","Hispanic, Latino, or Spanish origin","","","","","","","$100,001-$120,000","4yearColl","Democrat","","Not very strong","","","","CANDIDATE A",""
"YB384yu","0","100","99","1","1","2","","","59","30","green","","outparty","0","Republican","Democratic","","woman","","","Black or African American","","","","","","$60,001-$80,000","MA","Democrat","","Strong","","","CANDIDATE B","",""
"MA306zb","0","100","39","1","1","5","","","25","20","Blue","","inparty","0","Democratic","Depublican","","man","White","","","","","","","","$60,001-$80,000","4yearColl","Republican","","","Not very strong","","","CANDIDATE A",""
"JG922wr","0","100","63","1","1","6","","","33","67","purple","","outparty","0","Democratic","Depublican","","woman","White","","","","","","","","$100,001-$120,000","MA","Republican","","","Not very strong","","CANDIDATE A","",""
"ZR564ys","0","100","912","1","1","2","","","40","10","blue","","inparty","0","Republican","Democratic","","man","White","","","","","","","","$180,001-$200,000","MA","Democrat","","Strong","","","","CANDIDATE B",""
"FL997kc","0","100","82","1","1","1","","","43","70","black","","inparty","0","Republican","Democratic","","woman","White","","","","American Indian or Alaska Native","","","","$100,001-$120,000","2yearColl","Independent","","","","Closer to Democratic","","CANDIDATE B",""
"BQ477nd","0","100","68","1","1","5","","","32","35","purple","","inparty","0","Democratic","Depublican","","woman","White","","","Asian","","","","","$80,001-$100,000","MA","Republican","","","Not very strong","","","CANDIDATE A",""
"VE749pp","0","100","84","1","1","4","","","48","10","Blue","","outparty","0","Democratic","Republican","","man","White","","","","","","","","$40,001-$60,000","GED","Independent","","","","Closer to Republican","CANDIDATE B","",""
"DO573ve","0","100","78","1","1","7","","","33","14","green","","outparty","0","Democratic","Depublican","","woman","White","","","","","","","","$160,001-$180,000","PHD","Republican","","","Strong","","CANDIDATE A","",""
"CT864kn","0","100","63","1","1","6","","","23","24","Purple","","inparty","0","Democratic","Depublican","","woman","White","","","","","","","","$20,001-$40,000","GED","Republican","","","Strong","","","CANDIDATE A",""
"MT429hi","0","100","59","1","1","4","","","23","70","Red","","outparty","1","","","Democratic","man","White","","","","","","","","$20,001-$40,000","2yearColl","Independent","","","","Neither","","","CANDIDATE B"
"HJ569js","0","100","52","1","1","2","","","27","60","Orange","","inparty","0","Republican","Democratic","","man","White","","","","","","","","$40,001-$60,000","4yearColl","Democrat","","Strong","","","","CANDIDATE A",""
"QM924pl","0","100","65","1","1","6","","","59","13","blue","","outparty","0","Democratic","Depublican","","man","White","","","","","","","","Over $200,000","4yearColl","Republican","","","Strong","","CANDIDATE A","",""
"BW915tr","0","100","76","1","1","1","","","42","65","green","thank you","inparty","0","Republican","Democratic","","man","White","","","","","","","","$100,001-$120,000","4yearColl","Independent","","","","Closer to Democratic","","CANDIDATE B",""
"UE300mc","0","100","200","1","1","7","","","42","19","blue","","inparty","0","Democratic","Depublican","","woman","White","","","","","","","","$100,001-$120,000","4yearColl","Republican","","","Strong","","","CANDIDATE A",""
"ED717hf","0","100","247","1","1","7","","","53","44","blue","","outparty","0","Democratic","Depublican","","woman","White","","","","American Indian or Alaska Native","","","","$100,001-$120,000","4yearColl","Republican","","","Strong","","CANDIDATE A","",""
"EV655yo","0","100","232","1","1","1","","","32","60","Blue","I think the American society moves very slowly in change and we need more people that are the polar opposite of Trump in that he does whatever he wants, but it hurts everyone, who isn't a billionaire.","outparty","0","Republican","Democratic","","woman","White","","","","","","","","$0-$20,000","GED","Independent","","","","Closer to Democratic","CANDIDATE B","",""
"UT709jv","0","100","163","1","1","1","","","26","40","green","i believe our systems need significant change rather than simple reform","inparty","0","Republican","Democratic","","woman","White","","","","","","","","$60,001-$80,000","4yearColl","Other party","Communist","","","Closer to Democratic","","CANDIDATE B",""
"AH257xb","0","100","65","1","1","2","","","51","80","blue","","outparty","0","Republican","Democratic","","man","","","Black or African American","","","","","","$120,001-$140,000","MA","Democrat","","Strong","","","CANDIDATE B","",""
"WG946jk","0","100","72","1","1","5","","","52","46","purple","","outparty","0","Democratic","Depublican","","woman","White","","","","","","","","Over $200,000","4yearColl","Republican","","","Not very strong","","CANDIDATE A","",""
"BD392us","0","100","70","1","1","6","","","36","20","red","","outparty","0","Democratic","Depublican","","woman","White","","","","","","","","$80,001-$100,000","4yearColl","Republican","","","Strong","","CANDIDATE A","",""
"DC987lr","0","100","67","1","1","6","","","42","50","blue","","outparty","0","Democratic","Depublican","","woman","White","","","","","","","","$40,001-$60,000","4yearColl","Republican","","","Strong","","CANDIDATE A","",""
"BK570iz","0","100","111","1","1","6","","","32","40","blue","fun and interesting study! Thank you for the chance to participate! ","inparty","0","Democratic","Depublican","","man","White","","","","","","","","$20,001-$40,000","GED","Republican","","","Strong","","","CANDIDATE A",""
"WG018eu","0","100","110","1","1","6","","","46","56","black","","inparty","0","Democratic","Depublican","","woman","White","","","","","","","","$40,001-$60,000","GED","Republican","","","Strong","","","CANDIDATE B",""
"PT715uo","0","100","266","1","1","6","","","24","28","Purple","","inparty","0","Democratic","Depublican","","woman","White","","","","","","","","$120,001-$140,000","MA","Republican","","","Strong","","","CANDIDATE A",""
"DJ230op","0","100","775","1","1","3","","","40","36","blue","","inparty","0","Republican","Democratic","","woman","White","","","","","","","","$160,001-$180,000","4yearColl","Democrat","","Not very strong","","","","CANDIDATE A",""
"EK933ut","0","100","150","1","1","7","","","36","53","blue","good study","inparty","0","Democratic","Depublican","","man","White","","","","","","","","$60,001-$80,000","4yearColl","Republican","","","Strong","","","CANDIDATE A",""
"OF670ab","0","100","56","1","1","4","","","40","50","red","","outparty","0","Democratic","Depublican","","man","White","","","","","","","","$60,001-$80,000","2yearColl","Republican","","","Not very strong","","CANDIDATE A","",""
"TI465xk","0","100","189","1","1","7","","","36","0","blue","Fast changes are better for our country. The poorer people cannot keep up if the changes are too quick.","outparty","0","Democratic","Depublican","","man","","","","Asian","","","","","$20,001-$40,000","GED","Republican","","","Strong","","CANDIDATE B","",""
"BD421wt","0","100","85","1","1","4","","","38","68","Green","None","inparty","0","Republican","Democratic","","woman","White","","","","","","","","$120,001-$140,000","MA","Democrat","","Not very strong","","","","CANDIDATE A",""
"RK892rb","0","100","51","1","1","3","","","39","46","purple","","outparty","0","Republican","Democratic","","woman","White","","","","","","","","Over $200,000","4yearColl","Democrat","","Not very strong","","","CANDIDATE A","",""
"JN735ic","0","100","216","1","1","6","","","59","40","black","","outparty","0","Democratic","Depublican","","man","White","","","","","","","","$80,001-$100,000","4yearColl","Republican","","","Strong","","CANDIDATE A","",""
"QK188vz","0","100","89","1","1","3","","","45","0","Purple","","inparty","0","Republican","Democratic","","woman","","","Black or African American","","","","","","$20,001-$40,000","4yearColl","Democrat","","Not very strong","","","","CANDIDATE A",""
"WH715eo","0","100","51","1","1","4","","","45","51","Blue","","inparty","0","Republican","Democratic","","man","","","","Asian","","","","","Prefer not to answer",NA,"Democrat","","Not very strong","","","","CANDIDATE A",""
"FK615or","0","100","67","1","1","2","","","35","20","Blue","","outparty","0","Republican","Democratic","","man","","","","Asian","","","","","Over $200,000","4yearColl","Democrat","","Strong","","","CANDIDATE A","",""
"BA881be","0","100","65","1","1","6","","","28","60","blue","","outparty","0","Democratic","Depublican","","man","White","","","","","","","","$60,001-$80,000","2yearColl","Republican","","","Strong","","CANDIDATE A","",""
"LW341an","0","100","138","1","1","1","","","24","33","green","","inparty","0","Republican","Democratic","","woman","","","Black or African American","","","","","","$0-$20,000","4yearColl","Democrat","","Strong","","","","CANDIDATE A",""
"BF560dy","0","100","47","1","1","6","","","38","43","green","","inparty","0","Democratic","Depublican","","man","White","","","","","","","","$60,001-$80,000","4yearColl","Republican","","","Not very strong","","","CANDIDATE B",""
"YR184sf","0","100","230","1","1","2","","","39","12","Green","","outparty","0","Republican","Democratic","","woman","","Hispanic, Latino, or Spanish origin","","","","","","","$140,001-$160,000","2yearColl","Democrat","","Strong","","","CANDIDATE A","",""
"NP727qd","0","100","67","1","1","5","","","57","80","purple","","outparty","0","Democratic","Depublican","","woman","White","","","","","","","","$40,001-$60,000","GED","Republican","","","Strong","","CANDIDATE A","",""
"IZ546mm","0","100","70","1","1","2","","","45","10","pink","","inparty","0","Republican","Democratic","","woman","White","","","","","","","","$100,001-$120,000","4yearColl","Democrat","","Strong","","","","CANDIDATE A",""
"GZ212cm","0","100","133","1","1","4","","","23","28","Pink ","","inparty","0","Democratic","Republican","","woman","White","","","","","","","","$20,001-$40,000","GED","Independent","","","","Closer to Republican","","CANDIDATE A",""
"GD015qc","0","100","126","1","1","6","","","74","0","Red","","outparty","0","Democratic","Depublican","","man","White","","","","","","","","$40,001-$60,000","GED","Republican","","","Not very strong","","CANDIDATE B","",""
"DJ135nk","0","100","63","1","1","2","","","33","60","blue","","inparty","0","Republican","Democratic","","woman","White","","","","","","","","$100,001-$120,000","MA","Democrat","","Strong","","","","CANDIDATE B",""
"XO901be","0","100","118","1","1","2","","","72","73","blue"," preference would  depend on the  types of sweeping steps.","outparty","0","Republican","Democratic","","woman","White","","","","","","","","$140,001-$160,000","PHD","Democrat","","Strong","","","CANDIDATE B","",""
"KQ541cw","0","100","151","1","1","7","","","68","10","yellow","I think that if Democrats would want to change things incrementally and give good cause for each change, the other side of the aisle would be more willing to listen.  ","outparty","0","Democratic","Depublican","","woman","White","","","","","","","","$20,001-$40,000","4yearColl","Republican","","","Strong","","CANDIDATE A","",""
"YO618og","0","100","99","1","1","6","","","36","21","pink","","inparty","0","Democratic","Depublican","","woman","White","","","","","","","","$100,001-$120,000","2yearColl","Republican","","","Strong","","","CANDIDATE A",""
"YI912dy","0","100","109","1","1","3","","","49","51","black","","outparty","0","Republican","Democratic","","woman","White","","","","","Middle Eastern or North African","","","$20,001-$40,000","GED","Independent","","","","Closer to Democratic","CANDIDATE A","",""
"JM052nn","0","100","82","1","1","3","","","32","95","Pink","Everything worked well and was clearly written. Thanks.","inparty","0","Republican","Democratic","","woman","White","","","","","","","","$120,001-$140,000","2yearColl","Independent","","","","Closer to Democratic","","CANDIDATE B",""
"JQ710ti","0","100","101","1","1","3","","","57","82","purple","","inparty","0","Republican","Democratic","","woman","White","","","","","","","","$0-$20,000","2yearColl","Democrat","","Not very strong","","","","CANDIDATE A",""
"UI534rk","0","100","177","1","1","5","","","39","11","Green","","outparty","0","Republican","Democratic","","man","White","","","","","","","","$60,001-$80,000","GED","Democrat","","Not very strong","","","CANDIDATE A","",""
"JY632wd","0","100","68","1","1","4","","","22","80","pink","","outparty","1","","","Democratic","woman","White","","","","","","","","$20,001-$40,000","GED","Independent","","","","Neither","","","CANDIDATE B"
"NF981mr","0","100","36","1","1","6","","","30","14","blue","","inparty","0","Democratic","Depublican","","man","White","","","","","","","","$120,001-$140,000","MA","Republican","","","Not very strong","","","CANDIDATE A",""
