"PID","ai_sentiment","ai_topics","left_behind_score","category","culprit","feeling_vs_objective","culprit_text","rationale"
"KB305ap","negative","working class; cost of living; income inequality",8,"economic",1,1,"the rich","The response highlights the struggle of the working class with rising costs and contrasts it with the perceived wealth accumulation of the rich."
"DU707ha","negative","technology; employment; skills",7,"economic",0,1,"","The response suggests a negative sentiment towards the reliance on machines over human skills, indicating a feeling of being left behind economically."
"IL097lz","negative","affordability; basic commodities; full-time job",5,"economic",0,1,"","The response describes a person feeling frustrated due to economic struggles despite working full-time."
"IF035am","mixed","employment; rural areas; manufacturing",7,"economic",0,1,"","The response describes a person who feels left behind due to changes in the job market affecting their stable employment in manufacturing."
"LG516ve","mixed","abortion rights; stagnant wages; rising inflation; equal opportunities; race; gender",7,"social",0,1,"","The response highlights feelings of being left behind due to rights being taken away and economic challenges, without naming a specific culprit."
"PR158jt","negative","education; single motherhood; systemic undervaluation",7,"social",1,1,"the systems she serves","The response highlights feelings of being undervalued and unsupported by the systems she works within, indicating a social issue."
"GU968le","negative","poverty; employment; neglect",8,"economic",0,1,"","The response highlights feelings of neglect and lack of opportunities among those living near the poverty line."
"JR725cm","negative","job loss; economic change; community decline; political neglect",8,"economic",1,1,"politicians, corporations","Ben feels left behind due to the closure of the manufacturing plant and the lack of suitable job opportunities, compounded by political neglect and economic shifts."
"AH576xr","negative","cost of living; housing affordability; job market; dating; loneliness",8,"social",1,1,"immigrants, AI, dating apps","The response highlights feelings of being left behind due to economic and social challenges, with specific mention of immigrants, AI, and dating apps as contributing factors."
"ZG902pj","negative","rural decline; job loss; economic disparity; cultural loss",8,"economic",1,1,"policymakers, government","The response describes a person feeling ignored by policymakers and struggling with economic and cultural changes in a rural area."
"PA561cu","negative","economy; crime; housing; homelessness",5,"economic",0,1,"","The response expresses concern about economic conditions and crime, indicating a feeling of being left behind due to rising costs and crime rates."
"SS750pr","negative","American Dream; racial inequality; law enforcement; reparations",8,"social",1,1,"government, law enforcement","The response highlights the struggle of certain groups, particularly Black Americans, in achieving the American Dream due to historical and ongoing social injustices."
"ZX634gx","negative","education; economic opportunity; healthcare access",8,"social",1,1,"systematic barriers","The student feels left behind due to systematic barriers affecting her education, economic opportunities, and healthcare access."
"YA285hc","negative","rural America; low income; education; hope",8,"economic",0,1,"","The response highlights a negative sentiment about the economic and educational challenges faced by low-income individuals in rural America, emphasizing a feeling of hopelessness."
"CF151za","negative","working class; financial struggle",7,"economic",0,1,"","The response highlights the financial struggles of the working class, indicating a feeling of being left behind economically."
"HF936jp","mixed","economic struggles; minorities",5,"social",0,1,"","The response highlights feelings of being left behind among those struggling economically and minorities, without naming a specific culprit."
"AX381he","negative","housing; healthcare; education; safety; internet access",8,"economic",0,1,"","The response describes a person feeling left behind due to economic hardships affecting housing, healthcare, and education."
"QS881bk","mixed","rising costs; limited opportunities; systemic favoritism",5,"economic",0,1,"","The response highlights feelings of frustration and anxiety due to economic challenges and perceived systemic favoritism."
"HN164qk","negative","working class; cost of living; wages; housing; healthcare; groceries",7,"economic",1,1,"the system mainly works for the wealthy or well-connected","The response highlights the struggles of working class individuals with rising costs and stagnant wages, and suggests a feeling of neglect by the system."
"GJ065zj","negative","political polarization; election outcomes; youth voting behavior; economic conditions; political leadership",8,"political",1,1,"extreme political factions, Democratic Party, youth voters","The response expresses frustration with extreme political factions and youth voters, blaming them for political and economic issues, and suggests a need for moderate leadership."
"WX417rn","negative","inequality; immigration; disenfranchisement; policy impact",8,"political",1,0,"current policies","The response highlights specific groups affected by policies that remove protections and safety nets, indicating an objective condition of being left behind."
"NZ064lp","negative","immigration; discrimination; employment",8,"social",0,1,"","The response highlights feelings of shattered dreams and discrimination, indicating a strong sense of being left behind socially."
"ZB901pg","negative","minority groups; poverty; low wages; rising costs",8,"economic",0,1,"","The response highlights feelings of being overlooked and unimportant among minority and poor groups due to economic challenges like low wages and rising costs."
