"PID","Status","Progress","Duration..in.seconds.","Finished","consent","intro","gender_.99_TEXT","race_8_TEXT","age","ideo_1","ideo_2","ideo_3","ideo_4","ideo_5","describe","how_1","why_1","why_2","why_3","why_4","why_5","IOS","antidem_1","antidem_2","antidem_3","antidem_4","antidem_5","elect","antiest_1","antiest_2","antiest_3","antiest_4","trust_con","trust_gov","trust_jud","trust_sci","trust_pol","trust_news","polparticip_1","polparticip_2","polparticip_3","polparticip_4","polparticip_5","polparticip_6","check_1","feedback","inparty","outparty","gender","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","income","edu","party_gen","party_gen_5_TEXT","party_dem","party_rep","party_ind","vote_2024","vote_2024_12_TEXT","vote_now","vote_now_12_TEXT"
"WB378xn","0","100","670","1","1","4","","","34","1","4","4","2","5","Right now due to the new administration we have in office, the middle class and lower class will be left behind. The new tax laws and cuts. Hurt the lower and middle class to help the rich get richer and stay rich.","31","Tax hikes ","Cuts on medicaid ","Inflation ","Job lay offs","Cost of living going up","5","","","","","","2","7","4","7","2","1","1","1","3","1","2","5","2","3","2","1","2","Green","No comments","Non-Partisan","Non-Partisan","man","","","Black or African American","","","","","","$20,001-$40,000","GED","Independent","","","","Neither","I did not vote","","Other (please specify)","Bernie Sanders "
"FD353dy","0","100","386","1","1","4","","","44","5","5","5","4","4","I think the low income are being left behind. The right is frequently trying to remove their services, jobs are hard to get and things are only getting more expensive.","52","Wages","Education","Social services","Jobs","","4","1","2","1","4","1","2","7","7","7","3","1","1","2","4","1","2","4","1","2","3","2","1","Red","Nothing really. Thanks for giving me the chance to share my opinion.","Democratic Party","Republican Party","man","White","","","","","","","","$80,001-$100,000","GED","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)","","Kamala Harris (Democratic Party)",""
"HQ389yr","0","100","689","1","1","4","","","53","4","1","1","2","2","People who are feeling left behind are those who are working hard for their families but is faced with major tragedies in their lives. They are faced with medical issues and bills or they are single parent and unable to afford childcare and the like.","19","medical bills are too high","cannot afford childcare","feel punished for having kids","they have no support ","they have been victimized","2","2","2","2","3","2","2","4","5","3","4","2","2","3","2","2","3","3","3","2","2","2","1","red","","Republican Party","Democratic Party","woman","","","","Asian","","","","","$160,001-$180,000","4yearColl","Republican","","","Not very strong","","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"VG803te","0","100","550","1","1","4","","","63","4","5","5","4","4","The kind of person being left behind are anyone that is not white, male or straight. Everyone else is being left behind and in some cases being attacked. People who do not swallow the lies of the MAGA cult are being left behind and neglected and attacked. People who do not believe the firehose of lies that the criminal traitor in the White House spews are being left behind and considered ""the enemy of the people."" People who believe in truth, justice, democracy and the Constitution are being left behind. Anyone who isn't rich is being left behind. ","45","They are attacked when speaking the truth","They are attacked because of the sexuality","They are attacked because of the color of their skin","They are attacked because they defend justice","","3","2","2","3","2","3","2","7","6","5","2","1","2","4","4","1","3","4","1","1","3","2","4","purple","","Democratic Party","Republican Party","man","White","","","","","","","","$140,001-$160,000","GED","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"IE967wo","0","100","266","1","1","4","","","20","5","2","2","","","I think that someone feeling left behind would be someone who desperately needs help from the government but cannot get it.","50","Homeless ","Hungry","Stranded","No health care","Health problems ","2","2","2","4","6","1","1","7","7","7","2","3","2","2","3","2","1","5","4","5","4","5","5","Purple ","","Republican Party","Democratic Party","woman","White","","Black or African American","","","","","","$0-$20,000","GED","Republican","","","Not very strong","","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"KW186li","0","100","438","1","1","4","","","41","3","5","6","2","6","I think that the person who feels they are left behind tends to be of an older age. They feel like society was working better when they were younger and are dismayed by new trends that they don't understand. Generally, this person probably has a lower income and has struggled financially or in their career. I think this person tends to be more on the conservative side and is uncomfortable with advancements in culture and society.","50","The person is struggling financially and does not feel supported.","The person feels that the culture is changing rapidly and leaving them behind.","The person is not as open to new ideas, so when they are confronted with something new they feel uncomfortable or left out.","","","2","","","","","","2","6","5","4","3","2","2","3","4","2","4","5","4","2","3","2","3","mint green","","Non-Partisan","Non-Partisan","woman","White","","","","","","","","Over $200,000","4yearColl","Independent","","","","Neither","Kamala Harris (Democratic Party)","","Kamala Harris (Democratic Party)",""
"AA715zw","0","100","571","1","1","4","","","63","5","2","2","5","2","In order to be left behind, being a healthy person, is becuase you dont want to succeed. Success brings effort, determination and discipline. With all of those, you will never be left behind","10","lack of determination","lazyness","no dsicipline","no goals","no effort","1","2","2","2","2","6","2","3","5","4","5","2","2","3","2","2","1","3","1","1","1","1","1","green","","Republican Party","Democratic Party","man","White","Hispanic, Latino, or Spanish origin","","","","","","","$100,001-$120,000","MA","Independent","","","","Closer to Republican","I did not vote","","Donald Trump (Republican Party)",""
"KB341xj","0","100","684","1","1","4","","","32","5","1","1","4","1","I think those who feel left behind are those set in their ways and refuse to adapt with the current environment. They are stubborn and refuse to change or acknowledge the world is different. I also think these people feel like they do not have to do anything and are use to not trying hard and think things will be handed to them","50","difference in generations","progress in the world","lazy","won't confront current reality","","1","1","1","3","1","1","2","6","6","5","2","1","2","2","2","1","1","2","1","1","1","1","1","blue","","Republican Party","Democratic Party","woman","White","","","","","","","","$40,001-$60,000","4yearColl","Republican","","","Strong","","Donald Trump (Republican Party)","","J. D. Vance (Republican Party)",""
"GS484yn","0","100","400","1","1","4","","","37","1","","2","3","4","single, poor and working class people are being left behind, specifically due to the extremely accelerating costs of housing, utilities, food, and healthcare with evident disdain from politicians that these types of people would dare to complain about their existence in the greatest country on earth","24","low pay","high housing costs","little upward mobility","","","4","3","3","2","1","1","2","7","6","3","3","2","2","3","4","1","2","2","1","2","1","1","1","blue","","Democratic Party","Republican Party","man","White","","","","","","","","$0-$20,000","4yearColl","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)","","Other (please specify)","Alexandria Ocasio-Cortez"
"QQ652ox","0","100","545","1","1","4","","","71","4","1","1","2","1","There is such a wealth gap in this country now that it is easy to see how the lower classes might be feeling left behind. The stock market is at all time highs, housing prices continue to climb, yet economically disadvantaged people do not benefit at all from these developments.","10","Can't afford a house","Not a lot of career opportunities","Jobs being replaced by AI","Harder to put food on the table","Unequal access to good healthcare","1","2","1","3","2","2","2","6","6","4","2","1","1","3","2","1","1","5","1","2","2","3","3","Red","","Republican Party","Democratic Party","man","White","","","","","","","","Over $200,000","PHD","Independent","","","","Closer to Republican","Donald Trump (Republican Party)","","J. D. Vance (Republican Party)",""
"QD618yk","0","100","236","1","1","4","","","22","1","5","2","1","1","Someone who would feel left behind in today's society are the poor and homeless. They live on the streets with nowhere to go to feel safe. They have to beg for money just to keep themselves alive. It's impossible for many of them to get out of this situation.","80","can't afford food","can't afford housing","always feeling alone","having to bed for money/scraps","nobody helps them","1","2","2","2","2","1","1","6","5","5","5","3","3","3","4","2","3","2","2","1","1","1","1","red","","Democratic Party","Republican Party","woman","","","","Asian","","","","","$80,001-$100,000","4yearColl","Democrat","","Not very strong","","","I did not vote","","Kamala Harris (Democratic Party)",""
"ZQ679tg","0","100","470","1","1","4","","","66","1","7","4","4","7","The person feeling left behind is anyone who is not a MAGA. Anyone who is marginalized or any way different from the conservative core. ","51","DEI removal","executive orders","Supreme court rulings","congressional action or inaction","","4","2","2","2","2","2","2","7","5","3","4","2","3","2","4","2","4","4","1","3","2","3","2","blue","","Democratic Party","Republican Party","woman","White","","","","","","","","$20,001-$40,000","4yearColl","Democrat","","Strong","","","Kamala Harris (Democratic Party)","","Other (please specify)","Pete Buttigieg"
"BK623mw","0","100","472","1","1","4","","","48","1","1","1","1","1","People living in poverty or who are homeless are likely feeling left behind.  There is a concerted effort now to reduce social services and no other solutions being offered.","30","They are ignored","There are not many services or help available","They are considered undesireable","They have no advocacy","The rich continue to get richer","3","","","","","","2","7","6","6","2","1","1","1","1","1","2","2","1","1","1","1","1","blue","interesting","Non-Partisan","Non-Partisan","man","","","","Asian","","","","","$0-$20,000","GED","Independent","","","","Neither","I did not vote","","I would not vote",""
"GB372pe","0","100","761","1","1","4","","","38","1","7","7","2","7","The kind of person left behind by the United States has either a low educational background and not many professional skills to advance out of low paying jobs. The other person getting left behind are younger individuals who have college debt and can't find living wage jobs due to the rise of AI replacing historically good jobs.","45","They may not have a professional network and cannot advance to better types of jobs","They are racially discriminated against","They have medical debt due to lacking affordable healthcare","They grew up in a lower social class and are hitting glass ceilings in jobs and society trying to advance","They are a woman who are generally discriminated against professionally","3","2","2","2","2","2","2","6","3","3","3","2","2","2","4","2","3","3","4","4","3","3","4","Blue","","Democratic Party","Republican Party","man","White","","","","","","","","$60,001-$80,000","4yearColl","Democrat","","Strong","","","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"RI475ia","0","100","601","1","1","4","","","49","6","1","1","4","1","This kind of person is someone who may or may not work a lower wage job and hwo just can't catch a break. They do not have a safety net and could be one step away from poverty or in poverty.","0","finances","lack of support","low wages","","","2","1","1","1","1","1","2","3","3","4","5","2","3","3","2","1","1","1","1","1","1","1","1","purple","","Republican Party","Democratic Party","woman","White","","","","","","","","$100,001-$120,000","4yearColl","Republican","","","Strong","","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"US761jk","0","100","367","1","1","4","","","44","2","2","3","3","2","I believe that anyone who is not wealthy feels left behind right now. It very much feels like a society only the rich can grow and thrive in. Add to that things like race and disabilities, and it can feel quite hopeless ","23","The leadership encourages it ","Division among the people ","Hatred among the people ","Inflation ","Low wages ","3","2","1","1","1","3","2","7","7","6","1","1","1","2","3","1","1","5","3","3","1","1","1","Purple ","","Republican Party","Democratic Party","woman","White","","","","","","","","$140,001-$160,000","2yearColl","Other party","Politically homeless currently ","","","Closer to Republican","Donald Trump (Republican Party)","","Other (please specify)","I don’t know, but definitely NOT Trump "
"JW366xt","0","100","525","1","1","4","","","31","1","3","1","1","1","One group people that I think feel left behind are young men and women. A lot of younger people feel confusing and uncertain about what direction or path they should take to achieve their goals. Life can be difficult to navigate through and the current way society is structed, guidance and help for those people is simply not good enough. I know many young people that tell me how uncertain they feel about most of their decisions and how they don't have anyone to turn to for help and where they should go from where they are.","70","lack of help","lack of resources","poor education system","","","5","1","1","1","1","1","2","5","7","6","2","3","2","3","3","2","1","2","1","1","1","1","1","Blue","","Democratic Party","Republican Party","man","White","","","","","","","","$20,001-$40,000","2yearColl","Democrat","","Not very strong","","","I did not vote","","I would not vote",""
"WJ238ot","0","100","537","1","1","4","","","56","6","1","1","1","1","I believe that might be any elderly person. We do not think as a society about our elders. They are left alone, mostly if taken care of they are closed in nursing homes left with no contact with busy families, kids, We do not care about them. The medicare is sooo complicated, why should that be? for old people it suppose to be easy, accesible, useable and it is not. So, in my opinion the old people ale totally forgotten and left alone.","51","society as a whole does not seem to be interested","the goverment is setting the rules so difficult for the elderly to use that they are not useing what should.","Overall the settup of the structure of our society., We do not value old people","","","2","2","2","4","2","2","2","6","5","6","4","2","2","2","2","2","1","3","3","1","1","1","1","blue","","Republican Party","Democratic Party","woman","White","","","","","","","","Over $200,000","MA","Republican","","","Not very strong","","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"XJ694oh","0","100","675","1","1","4","","","39","6","1","2","2","4","I think people that are feeling left behind are liberals. They constantly play the victim in Trump's economy.","51","Playing the victim","Not willing to work","Brain washed","","","1","5","4","4","3","4","2","4","5","3","4","2","3","3","3","3","1","2","3","2","2","1","1","peach","","Republican Party","Democratic Party","woman","White","","","","","","","","$100,001-$120,000","4yearColl","Republican","","","Strong","","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"VC841lr","0","100","938","1","1","4","","","34","3","3","2","","","An American who feels left behind in this day and age is just tired of what America has become. Considering the history of most countries being run by kings, it's a dog-eat-dog world. ","80","A lot of people have been railroaded because of their honesty","Hardwork can only get you so far even if done in a satisfatory quality.","Majority of people are out for themselves.","You can only control your actions not anyone else's.","","4","4","1","2","3","1","2","7","5","6","3","2","1","1","4","2","3","4","5","3","1","2","2","mint green","","Republican Party","Democratic Party","man","White","","Black or African American","","","","","","$0-$20,000","GED","Independent","","","","Closer to Republican","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"ZT686ly","0","100","453","1","1","4","","","53","4","1","1","1","1","I think the kind of person that thinks they need to be taken care of rather than taking care of themselves feels left behind since things are more expensive and they aren't getting as many freebies. I think they need an attitude adjustment and figure out how to be self reliant and find skills and have higher goals. ","10","They are having housing issues with rents going up","They aren't getting as much bang for their buck with foodstamps","They aren't allowed to sleep wherever they want to sleep if homeless, such as on sidewalks in a lot of cities","Encampments are being cleared out/not allowed in a lot of places","","1","2","2","2","2","2","2","3","6","6","3","2","2","4","3","2","1","3","1","1","1","1","1","purple","I hope we can find a true moderate for the next election.","Republican Party","Democratic Party","woman","White","","","","","","","","$120,001-$140,000","GED","Independent","","","","Closer to Republican","I did not vote","","Other (please specify)","Someone new that is reasonable"
"HF412fa","0","100","782","1","1","4","","","37","6","1","1","3","1","The kind of person that feels left behind in the United States is someone who has been working hard their entire life to get the right education, get the right job, and earn a decent salary, only to have the goal post constantly moved further away. This includes increased taxes that affect the middle to lower class more than the 1 percenters. High interest rates which makes it nearly impossible to afford to purchase a home and maintain it. Insurance premiums that seem to be as high as a car note. All of these things and more continue to add to the mountains that people are already struggling to climb. ","24","Low salary ","Increased debt ","Lack of tax breaks ","High premiums for housing and cars","High interest rate ","4","2","4","2","3","2","1","7","7","7","2","1","1","3","2","2","1","3","1","1","1","3","1","blue","","Republican Party","Democratic Party","woman","","","Black or African American","","","","","","$100,001-$120,000","MA","Independent","","","","Closer to Republican","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"VC480ol","0","100","455","1","1","4","","","36","2","5","4","3","4","Most minorities are being left behind. we have people that dont care about building others up and instead choose to do things for the benefit of themselves and those that look like them","44","policies not geared towards them","taking away rights","increased harrassment","","","3","1","2","2","2","2","2","5","4","4","2","2","2","3","3","2","3","2","1","1","1","1","1","blue"," ","Democratic Party","Republican Party","man","White","","","","","","","","$80,001-$100,000","4yearColl","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"NM526dg","0","100","738","1","1","4","","","28","1","4","3","","","i believe that the average, everyday American is being left behind by the way things are currently being done in the United States. our country unfortunately heavily favors the rich, and especially since Trump came into office. even middle income people are struggling to make ends meet nowadays.","0","inflation","tariffs","our president","low wages and expensive basic goods","","4","","","","","","2","7","7","7","1","1","1","2","4","1","2","3","1","1","1","1","1","blue/red","","Non-Partisan","Non-Partisan","man","White","","","","","","","","$40,001-$60,000","GED","Independent","","","","Neither","I did not vote","","Gavin Newsom (Democratic Party)",""
"MZ985gj","0","100","237","1","1","4","","","30","4","2","2","5","3","I think the people feeling left behind are those who are lower income or are minorities in America. I think that as the administration is handling things now these are the ones suffering the most at this time. ","19","Cost of living","Ideaology","Bills that are being passed","Bills that are being listened too","Changing of laws.","4","1","1","1","1","1","2","4","5","5","2","2","2","2","2","1","1","1","1","1","1","1","1","Purple","","Republican Party","Democratic Party","woman","White","","","","","","","","$20,001-$40,000","GED","Republican","","","Not very strong","","Donald Trump (Republican Party)","","J. D. Vance (Republican Party)",""
"BV276sc","0","100","872","1","1","4","","","33","2","4","4","5","5","Low income people, unemployed people and people who are struggling every day","53","economic situation","inflation","low self esteem","not confident","unemployment","3","5","3","2","7","6","1","6","4","5","5","3","3","3","4","3","3","4","4","5","3","3","4","brown","N/A","Democratic Party","Republican Party","woman","","","Black or African American","","","","","","$80,001-$100,000","4yearColl","Democrat","","Not very strong","","","I did not vote","","Kamala Harris (Democratic Party)",""
"TH058vf","0","100","850","1","1","4","","","57","5","2","4","4","3","I think the ones who feel they are being left behind are generally un educated or under educated individuals who have made poor life choices. They are now living in a society that they dont feel they ""fit"" in. A large part of this is due to their lack of marketable skills that have left them not being able to succeed. They see large numbers of people in this country succeeding and wonder why they cant. Due to the political environment, they are feed propaganda that boosts their feelings of disenfranchisement. ","35","They are uneducated","They lack the skills/knowledge to be successful ","They are being told who is to blame for their cicumstances ","","","1","2","1","4","2","4","2","4","5","2","5","2","3","3","4","2","2","5","2","2","2","3","1","Purple","The final question about who I would vote for in the presidential election where held tomorrow was Odd. President Trump cannot be a presidental nominee in the next election as he is currently in in second and last term. Thus my choice if a presidential election were held tommorrow would be J.D. Vance. There is no way in hell i would vote for Kamala Harris. Just saying. ","Republican Party","Democratic Party","man","White","","","","","","","","$120,001-$140,000","2yearColl","Republican","","","Strong","","Donald Trump (Republican Party)","","J. D. Vance (Republican Party)",""
"MN780ky","0","100","743","1","1","4","","","37","1","2","5","5","4","I would say most people feel this way. The only people who wouldn't feel this way are the super wealthy and the managerial and administrative class. Regular people from all walks of life have many reasons to feel fed up and disenfranchised. ","20","Lack of ability to make a life for oneself","Poor job prospects","Basic goods being far too expensive","Rampant corruption ","Consolidation of all industries","4","2","2","1","2","1","2","7","7","6","1","2","2","2","3","1","2","2","1","2","1","2","1","Turquoise","","Democratic Party","Republican Party",NA,"White","","","","","","","","Prefer not to answer",NA,"Independent","","","","Closer to Democratic","I did not vote","","Other (please specify)","Anyone else"
"KH029xt","0","100","687","1","1","4","","","49","5","1","1","1","1","I believe the senior citizens.  They worked hard for our country's traditions, values and paid taxes all their lives to be told they may have to work longer to receive the benefits of retirement that earned.  To be billed crazy medical costs with no wage increase to them.  To see the world they built going to hell because of the last couple generations.  ","12","Cost of medical increase","Cost of living increase","No increase to their wage","lonely","no one sticking up for their tights since it is hard for them to do it themselves","4","1","1","1","1","7","1","1","7","7","1","1","1","1","1","1","1","4","1","1","1","1","1","turquoise","","Republican Party","Democratic Party","woman","White","","","","","","","","$80,001-$100,000","GED","Republican","","","Not very strong","","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"VL477ym","0","100","506","1","1","4","","","24","6","2","2","2","4","I think a person who is feeling left behind by the way things are currently done in the United States is someone who lives in a small town. Such a person will have a simple job, that while it will pay a few bills, it will never be enough. This is how they will find themselves at age 40 to 50, with no college degree and nothing to their name. ","50","Economic insecurity","Lack of opportunities","Politically ignored","Falling behind","","1","3","2","1","1","1","2","6","5","4","5","3","3","3","3","3","2","4","2","2","3","3","2","Blue","","Republican Party","Democratic Party","man","White","","","","","","","","$140,001-$160,000","MA","Republican","","","Not very strong","","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"AL002ii","0","100","402","1","1","4","","","36","1","1","1","","1","I feel like a lot of lower income, working class families are feeling overlooked and unseen. A lot of policies have been cut or not even implemented. These are policies that help with housing, helath and childcare. ","37","not very many policies to support ","policies being cut","food prices rapidly increasing","","","2","1","1","1","1","1","2","5","5","4","3","2","2","2","3","2","3","4","1","1","1","1","1","blue","","Democratic Party","Republican Party","woman","White","","","","","","","","$100,001-$120,000","4yearColl","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)","","Kamala Harris (Democratic Party)",""
"TX426wb","0","100","1588","1","1","4","","","22","1","7","7","","7","Anyone feeling left behind in the United States might be working low-wage jobs without a reliable healthcare system, or rather, Job security. You find that they live in a rural area or a near-urban neighborhood where opportunities for education and affordable housing are limited. ","80","Low wages and job insecurity","Limited educational opportunities","Affordable housing challenges","","","3","2","2","2","4","2","2","7","4","6","5","4","3","3","4","3","4","4","3","3","3","3","4","Black","","Democratic Party","Republican Party","woman","White","","","","","","","","$80,001-$100,000","4yearColl","Democrat","","Strong","","","Kamala Harris (Democratic Party)","","Kamala Harris (Democratic Party)",""
"KX476zy","0","100","781","1","1","4","","","36","","","","","","hardworking low income ppl who work more than 40 hour a week and still cant make it. the ones who work there life away trying to provide for there familys but still end up struggling to get food and will never own a home. i think those ppl are the ones america are forgeting it dosnt have to do with race gender or belif it affects all hard working americans who do jobs like factory work and department stores the ones who want the best for there family but cant even afford new clothes or shoes because prices are to high","13","low income","prices are to high","rich are rich poor are poor","not enough chances to get ahead","not enough cheap homes","5","1","1","1","1","1","2","7","7","7","2","2","2","2","3","2","2","4","3","1","1","1","1","red","","Republican Party","Democratic Party","woman","White","","","","","","","","$0-$20,000","noHS","Republican","","","Not very strong","","Donald Trump (Republican Party)","","I would not vote",""
"XJ769cc","0","100","284","1","1","4","","","38","3","6","3","3","4","I am thinking of blue collar workers, who might have worked in manufacturing jobs that have been offshored to Asia. They feel like the focus on high tech and AI etc do not adequately address the concerns in their particular lives or communities which do not have adequate jobs","40","Lack of economic opportunity","Jobs being offshored","A shift in economic investment into other areas of the country","","","2","","","","","","1","6","6","5","5","2","3","3","4","2","3","3","1","1","1","1","1","Blue","","Non-Partisan","Non-Partisan","man","","","","Asian","","","","","Prefer not to answer","MA","Independent","","","","Neither","Kamala Harris (Democratic Party)","","Kamala Harris (Democratic Party)",""
"FM963as","0","100","906","1","1","4","","","23","5","5","6","2","6","The kind of person who is left behind is someone who doesn't take up opportunities, changes, and is at a standstill in life. Opportunities are vast in this country compared to others, but even then, the chances to take these opportunities are very limited. This is so because of timing, competition, and will. These three can be considered for the changes that need to happen, and a lot of the time it is just safer to stick with what is familiar, even if struggling is present. The standstill claim is one that the individual's life is very repetitive and they are somewhat not content with the lifestyle.","30","uncertainty","closure","safety","","","3","2","2","2","5","2","1","6","5","2","5","3","2","3","3","2","3","3","3","3","1","1","1","gray","","Democratic Party","Republican Party","man","","Hispanic, Latino, or Spanish origin","","","","","","","$60,001-$80,000","4yearColl","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"JW644wh","0","100","910","1","1","4","","","72","2","6","4","","4","I think a lot of older people might be feeling left behind. There is new technology they cannot grasp or understand. They see children being coddled - the kids are never wrong; they get to call all the shots; God knows they shouldn't be reprimanded or told they couldn't do something. All this talk about ""climate change"" has them confused. ","24","technology","electric cars","irresponsible youths","lack of courtesy","","2","","","","","","2","7","7","7","1","1","1","2","3","1","1","5","1","3","2","1","1","blue","","Non-Partisan","Non-Partisan","woman","White","","","","","","","","$40,001-$60,000","MA","Independent","","","","Neither","Kamala Harris (Democratic Party)","","Other (please specify)","Pete Buttigieg"
"CD336dt","0","100","561","1","1","4","","","38","1","6","4","4","6","I am among those being left behind. Forced to leave the workforce due to mental health issues, I’m ostracized and judged as lazy. Social programs designed to help me are only hurting me or outright leaving me behind. I am now in fear of losing my medicine next year because I’ll potentially lose my Medicaid. I am trying to get social security income, but it’s an uphill battle. Without Medicaid I will not be able to afford a doctor. Without a doctor I can not give proof of my issues. I am consistently scared. I am poor because what I earn is Pennie’s online, and I’m scared to earn that because I do not know how to do taxes or how it’ll affect my income. I know I am going off topic, but the socioeconomic divide I face affects me every single day.

","12","Medicine needs","Financial assistance needs","Affordable housing","Affordable food ","","5","3","2","4","2","1","2","7","7","7","1","2","2","2","3","1","1","5","1","5","1","4","1","Purple","","Democratic Party","Republican Party","woman","White","","","","","","","","$0-$20,000","GED","Democrat","","Strong","","","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"XA970sq","0","100","882","1","1","4","","","67","4","1","1","4","1","The kind of person that has deep history in the US, has played by the rules and been left behind and ignored by liberals and Marxist scum with a globalist agenda who use the US government as the goose that laid the golden eggs and treat them like a disposable consumer product to be replaced.","50","Because they have been left behind.","Because powerful global forces are seeking to replace them.","Because the nation is being ruled by oligarchs who ignore their votes and wishes","Because inflation is eating away their income","Because a small number of outside factions control media","4","4","4","7","7","2","2","7","6","6","2","2","2","2","2","2","1","4","1","1","1","1","1","blue","none","Republican Party","Democratic Party","man","White","","","","","","","","$0-$20,000","4yearColl","Independent","","","","Closer to Republican","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"YZ016kr","0","100","511","1","1","4","","","27","4","5","1","3","3","I think the kind of person who feels left behind is young men. Specifically the kind who did everything they were supposed to do to be successful: go to college, work hard, and has found themselves in a dead end job, watching people around them be given success for almost no reason. The people who chose to do horrible jobs have a lot of money, but their life sucks, and the good jobs that were promised to young men are still being taken up by older men, or women.","4","They dont make enough money","There arent opportunities to advance","They have worked hard and cant afford anything ","","","4","1","2","2","2","2","2","5","7","6","1","1","1","2","2","1","1","5","1","1","2","1","1","Green","","Republican Party","Democratic Party","man","","","","","American Indian or Alaska Native","","","","$40,001-$60,000","4yearColl","Independent","","","","Closer to Republican","I did not vote","","I would not vote",""
"VX639qp","0","100","409","1","1","4","","","25","5","1","1","1","1","I feel like traditional conservative Americans are feeling left behind with the way things are currently going in the country. These days, the focus is always on the liberal side of things and pushing those agendas. While I think this was necessary at one time, I feel like things are going too far left at this point in time. Therefore, most traditional conservative values and ethics are pushed aside. As a result of this, I feel like Americans who subscribe to conservative beliefs are the ones who would feel left behind. ","75","constantly targeted in the media","judged for their beliefs","ideas are not respected","automatically judged negatively ","not considered in policy decisions","3","3","3","3","3","3","2","5","5","5","3","2","2","3","4","2","2","3","1","2","2","1","1","purple","N/A","Republican Party","Democratic Party","woman","White","","","","","","","","Over $200,000","4yearColl","Republican","","","Not very strong","","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"RS563ol","0","100","711","1","1","4","","","31","7","7","7","4","6","I think the majority of Americans are feeling left behind and struggling in today's society. Low wages, expensive job dependent healthcare, rising inflation, lack of trust in the police and government, social unrest, a dangerous political environment, and backward government policies under the current administration are contributing to the decline in happiness and satisfaction. Most Americans are struggling to get by and there is no social safety net to care for them. The authoritarian and fascist government does not care and is actively making it worse. ","50","Low wages and rising inflation","Current healthcare system","Authoritarian/Fascist administration","Lack of social safety net","","5","1","1","1","1","1","2","7","6","7","2","2","2","3","4","2","2","5","5","5","5","5","5","Blue","","Democratic Party","Republican Party","woman","White","","","","","","","","$0-$20,000","4yearColl","Democrat","","Strong","","","Kamala Harris (Democratic Party)","","Kamala Harris (Democratic Party)",""
"TE565rz","0","100","985","1","1","4","","","48","7","2","3","3","3","i would say someone left behind by how things work now would be a struggling lower working class who feels the systems has turned on them, struggling to juggle all the bills and doesnt get a high pay. working hard with still a random income. They might be comitted to the rules and policy of how things work but they still find their self struggling to survive everyday worrying about kids and a better life","0","job stability","worry for kids and future","economic struggles","health","","4","1","2","5","5","6","2","6","7","7","5","1","2","4","3","3","3","4","4","5","3","2","3","purple ","none","Republican Party","Democratic Party","woman","White","","","","","","","","$60,001-$80,000","4yearColl","Republican","","","Not very strong","","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"MZ800ys","0","100","431","1","1","4","","","63","3","5","5","4","5","disabled people, LGBTQ and any other group that is not white christian. and of course the homeless and immigrant community and the poor","51","the government is rounding them up and people that look like them and deporting them","the government is throwing out their belongings and putting them in jail","the government is taking away their rights","the government is taking away and reducing their resources","","3","1","1","1","1","1","2","7","5","1","1","1","1","4","4","2","4","5","5","5","5","5","5","blue","","Democratic Party","Republican Party","woman","","Hispanic, Latino, or Spanish origin","","","","","","","$20,001-$40,000","2yearColl","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"CX593cx","0","100","293","1","1","4","","","33","6","1","1","3","2","I believe that the lower class feels left behind. With cuts to heal care, schools and school programs it puts them further behind ","52","Not a good education ","Struggling with bills ","Struggling with medical care ","Home life environment ","Lack of resources","3","2","2","2","2","2","2","5","6","6","3","2","2","2","4","1","3","2","1","1","1","1","1","Blue","","Republican Party","Democratic Party","man","White","","","","","","","","$140,001-$160,000","4yearColl","Republican","","","Not very strong","","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
