"PID","Status","Progress","Duration..in.seconds.","Finished","consent","intro","lebe_cont_1","describe","elect_exp","elect_change","elect_econ","elect_cult","ideo_1","ideo_2","ideo_3","ideo_4","ideo_5","gender_.99_TEXT","race_8_TEXT","age","check_1","feedback","gender","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","income","edu","party_gen","party_gen_5_TEXT","party_dem","party_rep","party_ind"
"DD306ls","0","100","512","1","1","4","20","I don't really feel like I'm left behind. It's hard to make ends meet sometimes, but we're about to be a family of 6 on one income. We find ways to get by though, we garden and preserve food, we raise goats and chickens for milk, eggs, and meat. ","4","4","7","6","6","1","2","5","2","","","35","blue","","woman","White","","","","","","","","$40,001-$60,000","GED","Republican","","","Strong",""
"PV159ku","0","100","230","1","1","4","17","I might feel left behind, if someone buys an electric car and I can't afford one but can only use my gas car. I might feel left behind if I couldn't realize how to use AI, tools like chat gpt or other AI tools when everyone else is using them. When I was hospitalized and couldn't even watch the tv or read news I somewhat felt like I was being left behind and the world was going very quick for me to catch up especially in regards to technology.","5","5","3","5","3","5","4","","4","","","54","blue","","man","White","","","","","","","","$40,001-$60,000","4yearColl","Democrat","","Strong","",""
"FV686ds","0","100","259","1","1","4","11","When I look at my life , I can't truly say I feel behind . My health is good , my family is loving , I have a good wife . I can truly say I love my life . One possible thing I feel let down is our politics : i feel our country is coming apart and quite frankly i am not sure what I can do . I participate in political life as much as I can but this is something out of my hands .","1","2","4","4","1","6","7","6","6","","","53","black","","man","White","","","","","","","","$120,001-$140,000","4yearColl","Democrat","","Strong","",""
"LM203lv","0","100","330","1","1","4","34","Income inequality is a real problem in America today. I lead a comfortable middle class life but I feel like it is getting harder for people to have a life like mine. Both power and money are pooling in the top 1% and they are using it to their advantage. Someone they've decided their interests are at odds with the rest of the country and seem to be working to limit financial success for the majority of American's to protect their interests.","4","3","2","2","2","7","7","2","7","","","48","blue","","man","White","","","","","","","","Over $200,000","MA","Democrat","","Strong","",""
"QX488wl","0","100","336","1","1","4","55","I feel like I'm being left behind because I'm just below middle class. I don't feel like politicians or other government entities care about what happens to me. I have to pay more and more for things like groceries, health insurance and taxes. It doesn't seem like I can get ahead, no matter what I do. I'm just going to get by or left behind, but probably not prosper.","5","4","2","1","1","5","4","1","5","","","56","green","","woman","White","","","","","","","","$40,001-$60,000","GED","Democrat","","Strong","",""
"HN052gu","0","100","102","1","1","4","15","Sometimes i feel a little left behind because I don't have my life as put together as others do. I am not doing great financially right now.","1","1","7","7","7","1","1","1","1","","","36","green","","woman","White","","","","","","","","$40,001-$60,000","GED","Republican","","","Strong",""
"GY421wr","0","100","284","1","1","4","24","There are lots of social programs and assistance available for people of other races and gender identities. I feel like people are leaving white heterosexuals behind and wiring about everyone else. ","4","5","6","3","3","3","2","4","3","","","43","Orange","None","man","White","","","","","","","","$120,001-$140,000","2yearColl","Independent","","","","Neither"
"JA319td","0","100","201","1","1","4","10","I feel like I have faced a lot of hardships for being my age. It feels like sometimes I am delayed in progress a bit because I have had to spend so much time and effort working through the problems I have faced. I also don’t live around my friends or family anymore so it feels like I have been having to start a whole new life from scratch. ","5","5","3","3","2","4","2","3","4","","","23","Pink","","woman","White","","","","","","","","$140,001-$160,000","4yearColl","Democrat","","Strong","",""
"PX493wi","0","100","109","1","1","4","37","I feel left behind by my family. I don’t speak to any of them. I only have my kids and their dad. I have no one else and I’m getting older. It’s a sad realization. ","3","1","3","4","2","1","1","1","1","","","35","Pink","Thanks","woman","White","","","","","","","","$60,001-$80,000","2yearColl","Republican","","","Not very strong",""
"RN934cw","0","100","636","1","1","4","80","I feel behind because I'm not where i want to be in life,I should be so much farther in life by now. ","5","7","4","1","","4","","5","","","","31","blue","","woman","White","","","","","","","","$0-$20,000","GED","Republican","","","Not very strong",""
"IO162aa","0","100","193","1","1","4","71","I feel left behind because as a disabled person I do not have the same opportunities as able-bodied people.","5","1","1","1","2","4","7","2","6","","","45","orange","","man","White","","","","","","","","$160,001-$180,000","PHD","Independent","","","","Neither"
"SG995fs","0","100","229","1","1","4","5","I think I am left behind in social interaction. I’ve always been a private person and never had the friendships other people have. Other people talk about activities they do with friends and I don’t have friends to do things like that with. I also am left behind in home maintenance knowledge. I do not have much skill in fixing things around the house so I have to pay professionals to do a lot of the tasks around my house. ","5","5","7","6","7","1","1","2","1","","","30","Blue","","man","White","","","","","","","","$180,001-$200,000","MA","Republican","","","Strong",""
"YW978at","0","100","230","1","1","4","0","I don't feel left behind therefore I cannot describe this scenario Im very active have close contact with  family and from my work as well ","4","4","4","4","1","1","1","1","1","","","59","Blue","good survey","woman","White","","","","","","","","$20,001-$40,000","GED","Independent","","","","Neither"
"CM540ie","0","100","148","1","1","4","28","Many of my friends are now homeowners. I personally do not want to be one so I feel behind in some respects but in general, I am happy with where I am. My path may look different from others but I am okay with that. ","4","4","1","1","1","5","4","4","4","","","44","blue","","woman","White","","","","","","","","$40,001-$60,000","GED","Democrat","","Strong","",""
"NL597jj","0","100","157","1","1","4","12","I grew up in a single parent house hold and I do feel like very little resources were provided to help with this situation. However, my family managed to overcome mostly. ","3","5","3","3","4","","5","6","5","","","27","Red","N/A","man","White","","","","","","","","$160,001-$180,000","MA","Independent","","","","Closer to Democratic"
"BG089bn","0","100","397","1","1","4","62","I feel left behind because I am starting to feel like a second hand citizen. I have to think about where I am all the time to wonder if I have to carry a passport or not. I don’t think my color matters here to those of power they want to get rid of me. ","3","4","2","1","2","5","6","","6","","","35","Blue","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$180,001-$200,000","4yearColl","Democrat","","Not very strong","",""
"HB462ib","0","100","163","1","1","4","100","I live in a very rural area.  No matter who in charge of the government it seems they only care about the people in the big cities.  During storms when we lose powers it can be over a week to get it back.  Our roads are in horrible  shape.  Until last year internet was not even available in my area.  You had to use tethering from your cell phone if you wanted internet.","1","5","4","7","6","1","1","1","1","","","40","green","","man","White","","","","","","","","$40,001-$60,000","4yearColl","Republican","","","Not very strong",""
"DK253xn","0","100","9","1","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UK596qd","0","100","103","1","1","4","94","I feel left behind financially. So many of my other friends are doing well financially. And I just can't seem to get ahead.","6","3","1","1","1","7","7","1","7","","","55","purple","","woman","White","","","","","","","","$20,001-$40,000","4yearColl","Democrat","","Strong","",""
"ZF945ec","0","100","320","1","1","4","75","I feel neglected. By myself and by those who swore and promised to love me and support me. I have been told by many people that they will be there no matter what, yet they are nowhere to be seen or heard from. Ever since I was young, I have been told that my future is bright and that expectations are not to be played with. I suppose they didn't expect me to be where I am now. ","6","6","2","3","5","4","4","3","5","","","24","blue","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$20,001-$40,000","GED","Democrat","","Not very strong","",""
"FU961uc","0","100","130","1","1","4","25","I feel that there are some people who are handed opportunities to get ahead and thats just not the case with me. ","6","4","5","5","6","3","3","2","5","","","29","Blue","N/A","woman","White","","","","","","","","$60,001-$80,000","4yearColl","Republican","","","Strong",""
"YT739dx","0","100","189","1","1","4","80","It's too hard to find jobs. So many new programs and Ai have made my job harder to find since people can just get a program to do it. Nothing is being done about it. I'm already in debt. How can I switch fields without getting money for training? I can't even pay my bills. And nothing is being done.","5","2","3","1","1","5","5","1","6","","","35","red","","woman","","","Black or African American","","","","","","$40,001-$60,000","MA","Democrat","","Not very strong","",""
"NA350sm","0","100","204","1","1","4","75","I feel like socially, people like me are getting left behind, progress stalled and is now moving backward. People are talking about getting rid of gay marriage and even interracial marriage in Tennessee and Florida. I've never felt more unwelcome in my own country.","5","1","1","1","1","6","6","2","6","","","29","purple","","man","White","","","","","","","","$20,001-$40,000","noHS","Democrat","","Strong","",""
"OM093qe","0","100","240","1","1","4","82","I feel like I haven’t achieved the same milestones that people in my age group have. Most people my age have already graduated college, have successful careers, and even have gotten married and started families of their own. I’m 27 years old and have only had two jobs and have been unemployed for two years and it feels like I’m only just now have started to catch up.","1","1","1","1","1","7","5","1","6","","","27","Purple ","","woman","","","Black or African American","","","","","","$60,001-$80,000","GED","Democrat","","Strong","",""
"CE672ek","0","100","13","1","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QP536zd","0","100","224","1","1","4","39","Other people know more about things and socialize more than I do. I['m not as inherently social and I'm concerned about how others think","3","4","2","2","4","5","5","6","3","","","43","orange","","woman","White","","","","","","","","$140,001-$160,000","MA","Independent","","","","Closer to Democratic"
"WE275cu","0","100","176","1","1","4","20","I feel like the separation between the means of production and the worker is causing an extreme difficulty in workers being able to become the means of production and build a business capable of competing with large companies.","3","2","7","4","3","2","1","7","4","","","31","blue","","man","White","","","","","","","","$40,001-$60,000","GED","Independent","","","","Closer to Republican"
"WW079kh","0","100","301","1","1","4","25","I may feel left behind since I am in the minority group. There are times when we are overlooked and are not able to progress in life.  We are not taken seriously although we may have the knowledge and /or experience to do things other peers in the majority may not think we are capable of achieving.","4","6","4","1","2","5","7","5","3","","","59","purple","","woman","","","Black or African American","","","","","","$60,001-$80,000","GED","Democrat","","Strong","",""
"BC833ua","0","100","8","1","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KS340ni","0","100","190","1","1","4","33","I feel left behind because I see friends and family being more financially successful, affording vacations, and just progressing in their lives in ways that I am not.","6","5","2","1","1","6","7","2","6","","","56","purple","","woman","White","","","","","","","","$100,001-$120,000","4yearColl","Independent","","","","Closer to Democratic"
"FE177fg","0","100","181","1","1","4","4","Sometimes I feel a little left behind in my career. I’ve been doing a similar type job for a while and others around me have been promoted or gotten new jobs.","4","6","6","6","6","2","2","3","2","","","40","Purple","","man","White","","","","","","","","Over $200,000","MA","Republican","","","Not very strong",""
"XL018zt","0","100","411","1","1","4","37","I do feel somewhat or partially left behind because I have been dealing with multiple chronic illnesses and disabilities the past several y ears and I am unable to participate in many activities and It seems like I am no longer invited out to many different activities. It definitely makes me feel left out by others. I would have felt stronger about being left out, but I still have many people that continue to invite me placed and include me. ","5","5","2","1","1","6","3","2","6","","","67","Blue","","woman","White","","","","","","","","$20,001-$40,000","2yearColl","Independent","","","","Closer to Democratic"
"TA347kr","0","100","122","1","1","4","23","Opportunities for previous generations are no longer available e.g. housing and education. These goals are much further from my reach than it would've been for those before me","4","2","1","1","1","4","6","3","5","","","25","Purple","","man","White","","","","","","","","$100,001-$120,000","4yearColl","Independent","","","","Closer to Democratic"
"QY421me","0","100","179","1","1","4","45","I am a milennial and I feel left behind when it comes to the American Dream. I was told to go to college. I did and now have crushing student loan debt. I cannot afford to buy a home even though I make 90k a year. I cannot afford to have a family and children. The American Dream has left me behind. ","4","2","1","1","7","7","","2","7","","","37","Purple","","woman","White","","","","","","","","$120,001-$140,000","MA","Democrat","","Strong","",""
"FF589yh","0","100","205","1","1","4","10","I don't feel that I've been left behind very much. I am older and so something things are not geared to me. I don't have as much disposable income as some also so that limits me a bit too.
Still, I feel that I'm not a part of a marginalized group.","5","5","1","1","1","7","6","5","6","","","68","Blue","","man","White","","","","","","","","$80,001-$100,000","4yearColl","Democrat","","Strong","",""
"MU734ln","0","100","286","1","1","4","75","I feel like I had way too many struggles and mountains to climb in my life that it was always difficult to relate to others even though I tried hard it never got me where I wanted to go in life. It’s sad","5","3","4","4","5","4","6","3","5","","","57","White","","woman","White","","","","","","","","$60,001-$80,000","GED","Independent","","","","Neither"
"ZR277ob","0","100","144","1","1","4","50","I feel like I am somewhere in the middle. I am not very ambitious, but wish I was the child of a rich person.  So I work hard and so does my husband. We make ends meet but don’t have a lot of extra money to live the lives we wish we could. ","3","1","1","1","1","5","7","1","7","","","38","Green ","","woman","White","","","","","","","","$80,001-$100,000","4yearColl","Democrat","","Not very strong","",""
"IX507uz","0","100","448","1","1","4","100","I don't feel deep connection with people.  I dont fit into mainstream categories and I don't agree with much of society.  I dont have a very high opinion of people and feel like most people are bad.  So I have always been a loner and someone that doesn't fit in with society. ,","5","3","5","4","4","4","","4","6","","","41","blue","","man","","","Black or African American","","","","","","$60,001-$80,000","GED","Independent","","","","Closer to Democratic"
"VD530os","0","100","109","1","1","4","4","People might feel left behind if they feel that technology is moving too fast for them to keep up. They might feel left behind if they are older and don't agree with civil rights for those who are different from them. ","4","5","1","1","7","1","1","7","1","","","55","blue","","woman","White","","","","","","","","$60,001-$80,000","4yearColl","Democrat","","Strong","",""
"TG870ml","0","100","212","1","1","4","17","I am currently postpartum with a nine week old baby. Needless to say, my life revolves around, trying to take care of my family and feeding a baby around the clock. I don’t necessarily feel left behind, I’m just living in my bubble right now. So I guess socially I am behind currently. ","3","5","5","7","7","1","1","","5","","","38","Blue","","woman","White","","","","","","","","$80,001-$100,000","2yearColl","Republican","","","Strong",""
"KP038gj","0","100","36","1","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UZ613ob","0","100","162","1","1","4","26","I feel like I've fallen behind socioeconomically compared to my peers. I don't have an impressive career, I don't make a lot of money, and I can't afford to maintain the sort of lifestyle that they do.","6","2","1","1","1","4","6","2","7","","","27","pink","","woman","White","","","","","","","","$60,001-$80,000","4yearColl","Democrat","","Strong","",""
"AM527mm","0","100","241","1","1","4","0","As an elderly person I feel that my time of active life is over with and I am being left behind  because I am not willing to adapt to  all the tech stuff, cell phones, internet , social media etc.  My time has come and gone . Its fine . I don't want to live in the world the way it is now . ","1","1","7","7","7","1","1","5","1","","","73","Pastel green","No comments thank you ","woman","White","","","","","","","","$20,001-$40,000","4yearColl","Republican","","","Strong",""
"QL607bz","0","100","263","1","1","4","30","I feel left behind in by my peers because I have a physical injury that prevents me from traveling or doing activities that are too demanding on my body. I am left behind in an experiential way, in that I cannot do many things that people my age group do regularly because I am not physically able to. 
It makes me angry and sad because I know there isnt anything I can do about it.","3","2","1","1","6","1","7","5","1","","","37","Red","","man","White","Hispanic, Latino, or Spanish origin","","","","","","","$80,001-$100,000","2yearColl","Democrat","","Strong","",""
"BE829ny","0","100","191","1","1","4","38","I feel a little left behind when it comes to developing empathy for those around me. I think I could do better in that regard for my close relationships. I'm not sure how to get better at it if it doesn't come naturally.","5","5","3","1","1","5","6","3","5","","","46","orange","none","woman","White","","","","","","","","$80,001-$100,000","PHD","Democrat","","Strong","",""
"BS168eh","0","100","79","1","1","4","72","I feel like I am financially struggling and not advancing in my age the way that I should be. I can't save for the future and feel uncertain.","5","6","6","6","6","1","2","3","4","","","44","black","","woman","White","Hispanic, Latino, or Spanish origin","","","","","","","$40,001-$60,000","2yearColl","Independent","","","","Closer to Republican"
"VO939ds","0","100","358","1","1","4","60","I didn't finish college like most of the people I know and now I am in my later life and watching other people my age enjoying their lives, vacationing, etc., and I am still struggling financially. Since it's too late to do anything about now, I feel left out. But that is my own doing, so I don't complain about it.","1","1","1","1","1","7","7","7","7","","","51","Blue","None, thanks.","man","White","","","","","","","","$120,001-$140,000","GED","Independent","","","","Neither"
"DQ857wg","0","100","133","1","1","4","62","Economically things seem worse and many criminals are getting away with their actions. I can try my best daily but it doesn’t seem enough.","6","4","5","3","1","6","5","1","6","","","35","Red","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$40,001-$60,000","MA","Democrat","","Strong","",""
"YR500fx","0","100","276","1","1","4","0","I personally do not feel left behind.  As I've gotten older not much seems to bother me anymore.  I guess you could look at this question by age and how different age groups feel.  When I was younger I felt a little left behind, however as I have mentioned I don't feel at all this way anymore.","7","7","6","7","6","1","1","1","1","","","58","Red","No","woman","White","","","","","","","","$140,001-$160,000","4yearColl","Republican","","","Strong",""
"AU013gb","0","100","288","1","1","4","22","i`m never left behind in full mode in my life . It`s just happened a few times , but never was entirely  ","2","6","6","3","3","5","2","5","5","","","60","green","","man","White","","","","","","","","$20,001-$40,000","GED","Republican","","","Not very strong",""
"ZO984zx","0","100","341","1","1","4","10","I answered that I dont really feel left behind. For me, I was offered a good, quality public education that helped prepare me for life. I also had a Boys and Girls club available for free that offered great youth sports programs for free. Our family took/takes advantage of an incredible YMCA for all kinds of activities. I dont feel left behind at all.","1","3","7","2","6","2","1","5","5","","","56","Tan","Great study! I hope my answers help with your research. Thank you!","man","White","","","","","","","","Over $200,000","4yearColl","Republican","","","Not very strong",""
"UX056mt","0","100","161","1","1","4","64","I feel financially left behind. There's limited way to catch up if you're financially behind as the country is designed to keep poor people poor and give more to the rich. ","1","5","1","2","1","4","6","3","5","","","36","Green","","man","White","","","","","","","","$120,001-$140,000","4yearColl","Independent","","","","Closer to Democratic"
"YP957ma","0","100","578","1","1","4","60","My ability to provide for my family feels like a lot less than what it should be. To get by without help and afford all the necessities and quality-of-life things requires a very high income. This was not always the case. Once upon a time everyone could reach the dream more easily. Today it requires much more to get the basics taken care of. Having quality healthcare, education, safety, housing, and opportunities are very hard to come by for average people. ","4","3","3","3","4","5","4","4","5","","","43","blue","none","man","","Hispanic, Latino, or Spanish origin","","","","","","","$80,001-$100,000","4yearColl","Independent","","","","Closer to Democratic"
"PB498bk","0","100","160","1","1","4","41","Young people these days seem to have an advantage of how to make money in so many different ways.  I feel left behind in this new world where I can't make the money these young kids can.","4","3","5","6","6","2","1","3","2","","","54","blue","","man","White","","","","","","","","$20,001-$40,000","GED","Republican","","","Strong",""
"LY560up","0","100","346","1","1","4","60","I feel left behind because friends my age are already establishing families and getting married while I have not so i feel like i am not doing as much as others when it comes down to it all ","5","5","3","3","5","5","5","4","3","","","26","Purple","","woman","","Hispanic, Latino, or Spanish origin","","","","","","","$80,001-$100,000","4yearColl","Democrat","","Not very strong","",""
"AF854xi","0","100","273","1","1","4","36","Some people were just given more opportunities than myself. Also, I chose certain things in my life where I was kind of looked down for","3","6","4","4","","","","","","","","59","Purple ","None","woman","White","","","Asian","","","","","$20,001-$40,000","GED","Republican","","","Not very strong",""
"CO512sf","0","100","179","1","1","4","14","I feel a bit left behind in terms of my financial success compared to my peers. A lot of the people I graduated college with have achieved some pretty impressive financial goals, run their own buisnesses, etc. However, I am still working the same job I did 10 years ago, and am not making a ton of money. I am comfortable where I am at, but sometimes feel like I didn't achieve what my fellow graduates did. ","3","4","1","1","1","6","6","1","7","","","32","orange","","man","White","","","","","","","","$80,001-$100,000","4yearColl","Democrat","","Strong","",""
"QC257uo","0","100","349","1","1","4","82","I was always told to go to school, go to college, get a degree, and I'll be able to have a good paying job. I did that. I even got a Master's degree, but I struggle to find a job and I'm underpaid. ","2","2","2","2","3","6","6","6","6","","","34","red","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$60,001-$80,000","MA","Democrat","","Not very strong","",""
"WK973xh","0","100","400","1","1","4","45","I realize I have a meager income, but I also realize there is only a little I can do to improve it. I do pursue income opportunities, but engaging in a full time high earning job is not in the cards. I have to make do with what I have and not dream too big. Age is a big factor at this stage, and the opportunity I had and failed to seize at one point, primarily due to financial resources, is an opportunity that will nevr present itself again. ","3","5","5","2","3","5","3","5","5","","","75","Teal","","man","White","","","","","","","","$40,001-$60,000","4yearColl","Independent","","","","Closer to Democratic"
"CN509wz","0","100","172","1","1","4","51","I don't feel like I'm making much progress at work despite all the hours and time I've put in. I don't feel as.thiugh I'm ever getting ahead by myself, only with my husband's help","4","1","6","7","7","1","1","2","2","","","44","Pink","","woman","White","","","","","","","","$120,001-$140,000","GED","Republican","","","Strong",""
"ZM868ah","0","100","250","1","1","4","60","I feel a bit left behind financially and also personally. I guess more stuck than left behind. I often feel like I’m just surviving day to day and not growing in any meaningful way.","4","1","1","1","1","2","5","1","7","","","31","Is this a test? I missed it if so. Red?","","woman","White","","","","","","","","$60,001-$80,000","4yearColl","Independent","","","","Closer to Democratic"
"WA812je","0","100","126","1","1","4","18","As a young person, I feel like that automation and AI are a threat to my job. I have some money saved but if I loose my job I am going to be behind the 8 ball for my future life. I need to save more to become more comfortable.","5","2","3","1","1","3","6","1","7","","","28","blue","","man","White","","","","","","","","$160,001-$180,000","4yearColl","Democrat","","Not very strong","",""
"BU119qe","0","100","257","1","1","4","60","I feel left behind because there are people who have a up in life that have money and don’t have to work hard for it or have the big house and boats and fancy stuff handed down to them while your working your but off trying to provide for your family and there taking trips to places every week ","4","3","7","7","5","4","5","4","4","","","21","Blue ","","woman","White","","","","","","","","$40,001-$60,000","noHS","Republican","","","Strong",""
"DW511sa","0","100","393","1","1","4","100","My generation has been ignored my whole working life.  When I came into the working world in the early 1990s, the boomer generation had all the good jobs and as a result had a lot of expendable income.  They were also set up for an easier life by not having to have been exposed to credit reports and credit scores controlling their lives while they were in their 20's, 30s, 40s, and 50s!  In the 90s, credit scores quickly dominated the financial world that effected everyday people like myself.  That was a big thing where Generation X got left behind.  Jump to how the world operates now and the Millenials and Generation Z dominate the jobs and have been spoiled by the excesses of their families where they do not have to work a normal job.  No one ever mentions Generation X in anything and all of those things have left me feeling behind in the world.","1","7","1","1","6","2","3","5","2","","","54","Blue","Everything ran smooth and was easy to understand.","man","","","Black or African American","","","","","","$60,001-$80,000","4yearColl","Democrat","","Not very strong","",""
"NL870fm","0","100","204","1","1","4","0","I really don’t think I feel left behind in any aspect of my life. I know what I want and hot to get it. I am happy with how I live my life.","5","7","7","1","5","4","2","3","3","","","25","Blue","None thank you!!","man","White","","","","","","","","$80,001-$100,000","4yearColl","Republican","","","Not very strong",""
"OH140ou","0","100","251","1","1","4","81","My mental state.  I need a considerable amount of professional mental help, but I can't afford it.  This isn't anyone's fault, and I am definitely not society's responsibility.  I just don't know how to go about it.  ","4","3","6","4","3","2","1","1","1","","","53","blue","none","man","White","","","","","","","","$40,001-$60,000","GED","Independent","","","","Neither"
"LY875eo","0","100","221","1","1","4","46","The government is so big that it cannot keep track of wasteful spending. That means more and more taxes and fees on everthing. I would prefer to have some of that money back to buy food for my grandchildren.","3","5","6","6","5","2","1","4","2","","","76","blue","none","man","White","","","","","","","","$160,001-$180,000","MA","Republican","","","Not very strong",""
"DF982hh","0","100","431","1","1","4","13","I sometimes feel left behind in terms of financial stability and career opportunities. It seems like the cost of living keeps rising faster than wages and while others some people are able to buy homes, invest or travel freely, I feel stuck just trying to keep up with basic expenses.","3","5","4","6","6","2","4","3","3","","","34","blue","","woman","White","","","","","","","","$100,001-$120,000","MA","Republican","","","Strong",""
"XW245ap","0","100","168","1","1","4","19","I feel that I am getting out of touch with the younger generation.  I am being left behind on what matters to them, causing me to not be able to relate as easily","5","5","5","5","5","","2","","","","","41","blue","","man","White","","","","","","","","$20,001-$40,000","4yearColl","Republican","","","Not very strong",""
"LX127xm","0","100","1235","1","1","4","31","I don't feel very much behind as my federal benefits are still very much there. Furthermore, I don't feel targeted in sny sort of way.","4","6","6","4","4","3","4","4","4","","","55","blue","","man","","","","Asian","","","","","$100,001-$120,000","4yearColl","Independent","","","","Closer to Republican"
"XC436vk","0","100","171","1","1","4","30","I have friends who are far more successful than I am and they can afford whatever they want/need. So in a way I feel left behind because I can't afford everything.","3","4","2","7","1","6","2","2","2","","","39","green","n/a","man","White","","","","","","","","$60,001-$80,000","GED","Democrat","","Not very strong","",""
"OJ506dd","0","100","375","1","1","4","20","I really don't feel to left behind, maybe left behind by corporate America when I started my own business","5","3","7","3","5","","","","","","","55","blue","","man","White","","","","","","","","$120,001-$140,000","4yearColl","Republican","","","Not very strong",""
"PB670mm","0","100","216","1","1","4","2","The only way I have felt left behind in any way is the excessive taxes that I am forced to pay.  I feel like i am punished with taxes when I work more or on the house I own. ","4","7","7","7","6","1","1","4","1","","","37","Silver","","man","White","Hispanic, Latino, or Spanish origin","","","","","","","$80,001-$100,000","GED","Republican","","","Not very strong",""
"WR803tj","0","100","195","1","1","4","57","I have a medical condition that makes it difficult for me to work a full time job. I think that the lack of income on my part has made it difficult on our family. If I was physically able to work we would not have to do without so much. ","4","6","4","4","6","3","3","3","3","","","37","purple","none","woman","White","","","","","","","","$40,001-$60,000","GED","Republican","","","Not very strong",""
"ZG979wg","0","100","210","1","1","4","20","I suppose I feel left behind politically. The political climate in this country has gotten so extreme so quickly, and it makes me feel out of place. I can't relate to either ""side."" I feel as if I no longer have any sort of meaningful voice in the broader conversation.","4","5","6","5","5","3","1","4","2","","","33","Red","","man","White","","","","","","","","$120,001-$140,000","4yearColl","Independent","","","","Neither"
"GS216kw","0","100","227","1","1","4","61","It feels like the government is failing the American people and only focusing on the wealthy becoming more wealthy. ","3","4","4","5","3","4","5","4","5","","","33","blue","","woman","","Hispanic, Latino, or Spanish origin","","","","","","","$60,001-$80,000","4yearColl","Independent","","","","Neither"
"BW867og","0","100","483","1","1","4","0","I do not feel ""left behind"" in anyway. I have been self reliant and independent all of my life. With this in mind, I have done nothing but forged ahead in my life. I look back and consider my circumstance when I was much younger compared to today and all I see is accomplishments in all aspects of my life. No, I do not feel left behind.","3","5","2","2","3","2","6","2","6","","","71","green","","man","White","","","","","","","","$60,001-$80,000","GED","Independent","","","","Neither"
"IU546pq","0","100","317","1","1","4","60","It feels like no matter how hard I try; I still can't reach the financial goals that I set out for myself, while I often see others reaching them much faster. ","1","5","6","7","1","1","3","5","1","","","46","blue","","man","","","Black or African American","","","","","","$60,001-$80,000","noHS","Independent","","","","Closer to Republican"
"CD476fe","0","100","172","1","1","4","82","i don't have any family, i haven't got anywhere in life and i struggle every day, i work hard every single day and bills take everything that i earn and leaves me with nothing most months","4","3","4","4","5","3","3","3","5","","","31","green","awesome job!","man","White","","","","","","","","$60,001-$80,000","GED","Republican","","","Strong",""
"WX586rx","0","100","188","1","1","4","0","since my husband died, i feel left behind.  i feel left out of the adult world of retiring and enjoying the rest of my life with my husband.","4","7","7","7","7","1","1","1","1","","","48","blue","","woman","White","","","","","","","","$80,001-$100,000","2yearColl","Republican","","","Strong",""
"UN752pl","0","100","396","1","1","4","50","It is because to get jobs nowadays one would need experience, but one cannot get experience if you do not have the job. It is something that is hard to accomplish and I would feel left behind from it.","7","1","1","1","1","1","7","1","7","","","35","Black","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$40,001-$60,000","4yearColl","Democrat","","Strong","",""
"ZT204ll","0","100","330","1","1","4","17","I don't think i'm left behind because I feel that I am doing what I can to still make something out of nothing. I like to remain optimistic. I think it some ways I am behind but I don't let that bother me so much because thinking and dwelling about it won't make a difference. ","3","3","3","4","4","4","5","3","5","","","39","red","","woman","","","","Asian","","","","","$20,001-$40,000","GED","Independent","","","","Closer to Democratic"
"BR286du","0","100","230","1","1","4","0","I never feel left behind. God is in charge of everything that He created, and He wants us all to live to earn the reward of being with Him in eternity. I have zero reason to ever feel left behind. Quite the opposite!","2","6","7","7","7","1","1","1","1","","","58","Green","None","man","White","","","","","","","","$140,001-$160,000","MA","Republican","","","Strong",""
"ME491pe","0","100","228","1","1","4","100","I work from home mostly and do not go many places to meet new people. I also do not have my drivers license and don't make a lot of money.","7","6","7","4","5","4","1","4","4","","","40","Pink","no issues","man","White","","","","","","","","$20,001-$40,000","noHS","Independent","","","","Neither"
"DI577ok","0","100","215","1","1","4","21","I feel like while overall my life is going good, economically I have been left behind. The attitudes around supporting, being loyal to and paying a fair wage on behalf of employers is terrible and they often do not pay well, support people or be loyal to employees in any way. Since there is no repercussions for treating employees badly or unfairly I feel like myself and many others are being left behind. We are always in danger of losing employment, we are paid a laughable wage that doesn't even begin to keep up with inflation and work environments are not the supportive space they once were. ","3","3","1","1","1","7","7","2","6","","","39","pink","none","woman","White","","","","","","","","$80,001-$100,000","PHD","Democrat","","Strong","",""
"SR676nz","0","100","234","1","1","4","72","As a disabled trans person in America, I feel as though people would rather I just die. They believe I'm mentally ill and that I don't deserve to have any help from things like SNAP or welfare. Instead of looking at me as a person like them, just trying to get by, they have turned my existence into one that is ideologically opposed to theirs. I feel as though if I try to exist outside of my house and my family I will be either directly killed, or killed through neglect. ","4","4","1","1","1","5","5","1","4","genderqueer/nonbinary trans","","35","aqua","",NA,"White","","","","","","","","$40,001-$60,000","GED","Independent","","","","Closer to Democratic"
