"PID","Status","Progress","Duration..in.seconds.","Finished","consent","lebe_cont_1","elect_exp","elect_change","elect_econ","elect_cult","mob_1","mob_2","mob_3","mob_4","mob_5","mob_6","mob_7","mob_8","check_1","soccon_1","soccon_2","soccon_3","soccon_4","soccon_5","lonely_1","lonely_2","lonely_3","leftbehind_cooley_1","leftbehind_cooley_2","leftbehind_cooley_3","leftbehind_cooley_4","leftbehind_cooley_5","ideo","gender_.99_TEXT","race_8_TEXT","age","check_2","feedback","gender","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","income","edu","party_gen","party_gen_5_TEXT","party_dem","party_rep","party_ind"
"UM770eh","0","100","213","1","1","61","5","2","2","1","3","4","3","4","5","5","4","2","5","4","1","5","5","5","1","2","2","","","","","","2","","","59","pink","n/a","woman","White","","","","","","","","$180,001-$200,000","4yearColl","Democrat","","Strong","",""
"JU899af","0","100","546","1","1","50","5","5","4","4","2","6","3","6","5","5","3","3","5","2","4","2","6","2","1","1","1","","","","","","4","","","71","Blue","","man","White","","","","","","","","$60,001-$80,000","PHD","Independent","","","","Closer to Democratic"
"AI192jq","0","100","386","1","1","56","5","4","2","2","4","5","4","4","3","5","4","5","5","4","2","2","6","5","1","2","2","","","","","","3","","","27","Blue","","man","White","","","","","","","","$60,001-$80,000","GED","Independent","","","","Closer to Democratic"
"DU880ap","0","100","206","1","1","75","5","6","1","1","2","6","2","5","5","5","2","3","5","5","5","4","6","5","2","2","2","","","","","","2","","","35","Red","","woman","White","","","","","","","","$60,001-$80,000","GED","Democrat","","Strong","",""
"CK859my","0","100","244","1","1","41","5","5","3","3","3","2","3","2","2","5","3","3","5","7","6","6","3","6","2","2","3","","","","","","6","","","38","purple","","man","White","","","","","","","","$60,001-$80,000","GED","Republican","","","Not very strong",""
"LX853mu","0","100","417","1","1","44","4","5","3","3","3","5","3","5","5","5","3","3","5","5","4","5","5","5","2","2","2","","","","","","3","","","49","blue","n/a","man","White","","","","","","","","$60,001-$80,000","4yearColl","Democrat","","Not very strong","",""
"FZ431ej","0","100","327","1","1","75","4","2","2","1","5","4","4","4","4","5","6","5","5","6","6","5","5","6","3","3","3","","","","","","2","","","59","black","","woman","","","Black or African American","","","","","","$60,001-$80,000","PHD","Democrat","","Not very strong","",""
"VM758ar","0","100","148","1","1","100","3","2","1","1","5","2","5","2","2","2","5","5","5","6","6","6","3","6","3","3","3","","","","","","2","","","33","purple","","man","","","","Asian","","","","","$0-$20,000","GED","Democrat","","Strong","",""
"AL132ce","0","100","354","1","1","0","4","5","4","2","4","5","3","4","6","5","4","3","5","3","2","2","5","2","2","1","2","","","","","","2","","","51","pink","","woman","","","Black or African American","","","","","","$120,001-$140,000","4yearColl","Democrat","","Strong","",""
"SD453xz","0","100","299","1","1","80","4","5","3","1","5","3","5","3","4","4","5","5","5","6","6","6","5","6","2","2","3","","","","","","4","","","28","pink","","woman","White","","","","","","","","$60,001-$80,000","GED","Independent","","","","Neither"
"KM681fv","0","100","248","1","1","100","1","1","1","1","5","3","5","2","3","3","5","5","5","7","7","7","1","7","3","3","3","","","","","","1","","","44","Purple","","woman","White","","","","","","","","$0-$20,000","4yearColl","Independent","","","","Closer to Democratic"
"HC894at","0","100","129","1","1","57","6","3","1","1","2","5","2","6","5","5","3","5","5","2","3","3","6","3","2","2","2","","","","","","1","","","39","blue","","man","White","","","","","","","","$60,001-$80,000","4yearColl","Democrat","","Strong","",""
"QK249kg","0","100","184","1","1","20","3","3","5","4","3","5","3","5","4","4","3","3","5","2","2","2","6","2","1","1","1","","","","","","4","","","52","orange","","man","White","","","","","","","","$120,001-$140,000","4yearColl","Independent","","","","Neither"
"MH150po","0","100","258","1","1","0","5","7","7","7","2","6","2","6","2","6","1","2","5","2","2","2","7","2","1","1","1","","","","","","6","","","65","Red","","man","White","","","","","","","","$40,001-$60,000","GED","Republican","","","Strong",""
"KR635jz","0","100","276","1","1","91","3","2","2","1","5","1","5","2","3","3","5","5","5","7","7","7","1","7","3","3","3","","","","","","1","","","25","red","","woman","White","","","","","","","","$0-$20,000","2yearColl","Democrat","","Not very strong","",""
"BE240ss","0","100","234","1","1","10","4","4","5","5","3","6","3","6","5","5","3","3","5","2","2","2","6","2","1","1","1","","","","","","6","","","60","blue","","man","White","","","","","","","","$180,001-$200,000","4yearColl","Independent","","","","Closer to Republican"
"XK546bj","0","100","658","1","1","60","5","5","4","4","2","5","2","6","5","5","2","3","5","6","5","5","5","4","2","3","3","","","","","","5","","","26","Blue","","woman","White","Hispanic, Latino, or Spanish origin","","","","","","","$20,001-$40,000","2yearColl","Republican","","","Not very strong",""
"FY119kf","0","100","155","1","1","25","3","3","3","4","1","6","2","7","6","6","1","1","5","2","2","2","6","2","1","1","1","","","","","","4","","","20","Green","","man","","","","Asian","","","","","$60,001-$80,000","GED","Independent","","","","Neither"
"GC294to","0","100","257","1","1","30","5","2","3","1","1","7","1","7","7","7","1","1","5","1","1","1","7","1","1","1","1","","","","","","3","","","50","black","","man","White","","","","","","","","Over $200,000","2yearColl","Democrat","","Not very strong","",""
"JA903uh","0","100","134","1","1","16","1","6","7","5","2","5","2","5","5","5","2","3","5","1","1","1","6","1","1","1","1","","","","","","4","","","36","blue","","man","White","","","","","","","","$20,001-$40,000","4yearColl","Independent","","","","Neither"
"RW347ui","0","100","139","1","1","70","3","1","1","1","2","6","2","6","6","6","2","2","5","6","6","6","5","6","1","2","2","","","","","","1","","","34","Black","","man","White","","","","","","","","$40,001-$60,000","4yearColl","Democrat","","Strong","",""
"RQ899kl","0","100","286","1","1","75","4","4","1","7","4","2","2","2","2","2","6","6","5","6","6","6","2","6","3","2","2","","","","","","6","","","41","Orange","n/a","man","White","","","","","","","","$120,001-$140,000","MA","Republican","","","Strong",""
"CD689fk","0","100","136","1","1","38","5","7","3","4","6","6","2","6","2","6","2","2","3","5","5","5","2","6","2","2","2","","","","","","4","","","30","blue","","woman","","","Black or African American","","","","","","$100,001-$120,000","4yearColl","Democrat","","Not very strong","",""
"SW061hm","0","100","416","1","1","89","3","5","2","1","5","3","5","2","2","3","6","6","5","6","6","7","3","6","3","3","3","","","","","","2","","","25","Blue","","man","","","Black or African American","","","","","","$120,001-$140,000","4yearColl","Democrat","","Strong","",""
"CB852cv","0","100","243","1","1","100","4","1","1","2","3","1","5","3","2","1","6","6","5","7","7","7","1","7","3","3","3","","","","","","1","","","44","purple","","man","White","","","","","","","","$40,001-$60,000","noHS","Independent","","","","Closer to Democratic"
"JG211qk","0","100","237","1","1","31","3","3","1","1","3","6","3","5","5","6","3","4","5","5","4","5","5","5","1","2","2","","","","","","3","","","38","blue","","woman","","","Black or African American","","","","","","$180,001-$200,000","2yearColl","Democrat","","Not very strong","",""
"CK495ml","0","100","458","1","1","15","6","6","4","5","4","5","3","4","6","5","3","3","5","4","4","3","5","3","1","2","1","","","","","","5","","","48","blue","","man","","","","Asian","","","","","$80,001-$100,000","2yearColl","Democrat","","Not very strong","",""
"JB531ht","0","100","190","1","1","45","4","2","2","1","3","5","3","4","4","4","3","4","5","5","5","5","3","5","2","2","2","","","","","","2","","","46","blue","","woman","White","","","","","","","","$120,001-$140,000","2yearColl","Democrat","","Strong","",""
"LM894pu","0","100","276","1","1","65","3","1","1","1","5","3","5","3","3","4","5","5","5","5","5","4","5","5","2","2","2","","","","","","1","","","47","blue","","man","White","","","","","","","","$20,001-$40,000","GED","Democrat","","Strong","",""
"ME675ap","0","100","150","1","1","27","4","6","4","6","3","4","3","5","4","4","3","3","5","4","3","3","5","3","2","2","2","","","","","","5","","","26","blue","","woman","White","","","","","","","","$40,001-$60,000","4yearColl","Republican","","","Not very strong",""
"XG942ay","0","100","436","1","1","75","4","4","4","3","2","6","2","6","6","5","3","2","5","3","2","2","6","2","2","1","1","","","","","","4","","","33","Red","","woman","White","","","","","","","","$20,001-$40,000","GED","Independent","","","","Closer to Democratic"
"AK210vx","0","100","267","1","1","61","5","4","4","5","3","5","3","5","5","5","4","3","5","4","4","4","5","3","2","2","1","","","","","","5","","","39","red","","man","White","","","","","","","","$20,001-$40,000","noHS","Independent","","","","Closer to Republican"
"OS360vq","0","100","212","1","1","10","4","5","7","7","2","5","2","5","5","5","2","3","5","3","3","2","5","2","1","1","2","","","","","","6","","","69","Orange","","man","White","","","","","","","","$40,001-$60,000","GED","Republican","","","Strong",""
"XV256mu","0","100","274","1","1","100","7","7","6","6","6","7","7","7","6","6","7","7","5","7","7","7","6","6","1","2","1","","","","","","7","","","47","black","good","man","White","","","","","","","","$80,001-$100,000","MA","Republican","","","Strong",""
"OE442nq","0","100","171","1","1","33","4","5","2","2","3","5","3","5","5","5","3","3","5","6","3","3","4","5","3","3","3","","","","","","3","","","29","blue","",NA,"","","","Asian","","","","","Prefer not to answer",NA,"Democrat","","Not very strong","",""
"RM535uv","0","100","239","1","1","80","4","4","2","1","3","2","3","5","3","5","3","3","5","6","5","2","6","3","2","2","2","","","","","","1","","","29","green","","woman","White","","","","","","","","$40,001-$60,000","GED","Democrat","","Strong","",""
"TV947yq","0","100","220","1","1","45","4","4","2","1","2","5","1","5","5","5","3","2","5","1","1","1","6","1","1","1","1","","","","","","3","","","47","black","","woman","","","Black or African American","","","","","","$140,001-$160,000","MA","Democrat","","Strong","",""
"TA376fz","0","100","316","1","1","50","4","7","7","1","3","5","3","5","5","3","5","5","5","5","6","6","6","6","3","2","2","","","","","","4","","","42","pink","","woman","","","Black or African American","","","","","","$0-$20,000","GED","Independent","","","","Closer to Democratic"
"EK165rj","0","100","352","1","1","0","1","7","1","7","1","6","1","5","6","5","1","1","5","2","1","5","5","1","1","1","1","","","","","","4","","","61","blue","","woman","","","Black or African American","","","","","","$60,001-$80,000","GED","Democrat","","Strong","",""
"SG049hv","0","100","166","1","1","63","2","1","1","1","3","5","3","5","5","5","4","4","5","2","2","2","6","2","1","2","2","","","","","","1","","","21","purple","","man","White","","","","","","","","$60,001-$80,000","2yearColl","Democrat","","Strong","",""
"ZQ426dd","0","100","316","1","1","20","5","7","7","1","7","5","5","2","2","3","5","5","5","1","1","1","7","1","1","1","1","","","","","","4","","","37","Red","n/a","woman","White","","","","","","","","$20,001-$40,000","GED","Independent","","","","Neither"
"UG375va","0","100","181","1","1","74","4","2","1","1","3","5","3","5","5","5","3","2","5","5","4","5","3","4","2","3","2","","","","","","1","","","38","Yellow","","man","","","","Asian","","","","","$100,001-$120,000","4yearColl","Democrat","","Not very strong","",""
"RN205wn","0","100","884","1","1","71","4","5","3","6","4","5","4","3","3","4","3","4","5","5","4","3","5","4","2","2","1","","","","","","3","","","26","Black","None","man","","","","Asian","","","","","$0-$20,000","GED","Democrat","","Not very strong","",""
"XM603il","0","100","214","1","1","0","1","7","1","1","1","7","1","7","7","7","1","1","5","1","1","1","7","1","1","1","1","","","","","","1","","","53","black","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$40,001-$60,000","GED","Democrat","","Strong","",""
"MS442jl","0","100","174","1","1","55","3","5","2","1","2","5","2","5","5","5","2","2","5","5","5","5","3","5","2","2","2","","","","","","2","","","70","Turquoise","","woman","White","","","","","","","","$20,001-$40,000","GED","Democrat","","Not very strong","",""
"GF523wl","0","100","175","1","1","100","4","2","1","1","5","3","5","3","3","3","5","5","5","6","6","6","2","6","3","3","3","","","","","","2","","","30","blue","","woman","","","","Asian","","","","","$60,001-$80,000","4yearColl","Democrat","","Not very strong","",""
"VI279bb","0","100","286","1","1","0","4","5","1","1","3","5","3","5","7","6","3","3","5","5","5","5","4","5","3","2","3","","","","","","1","","","26","Blue","","woman","White","","","","","","","","$40,001-$60,000","GED","Democrat","","Strong","",""
"OZ879vo","0","100","156","1","1","83","2","5","1","1","2","4","1","3","3","5","1","1","5","7","7","7","5","7","3","3","3","","","","","","3","","","64","Purple","","woman","","","Black or African American","","American Indian or Alaska Native","","","","$20,001-$40,000","2yearColl","Democrat","","Not very strong","",""
"TD561my","0","100","388","1","1","0","3","5","7","6","3","6","3","6","5","6","3","3","5","3","3","2","6","2","1","1","1","","","","","","6","","","66","Green","","man","","","","Asian","","","","","$60,001-$80,000","2yearColl","Republican","","","Not very strong",""
"RP053gd","0","100","313","1","1","55","4","5","1","1","3","1","3","5","2","5","3","3","5","3","5","3","5","3","2","2","2","","","","","","1","Non-binary ","","50","Purple ","",NA,"White","","","","","","","","$20,001-$40,000","MA","Democrat","","Strong","",""
"DG380fp","0","100","283","1","1","60","5","3","2","1","1","7","1","7","7","7","1","1","5","5","5","3","5","2","3","2","2","","","","","","3","","","48","Blue","","woman","","","Black or African American","","","","","","$0-$20,000","MA","Independent","","","","Closer to Democratic"
"JU438as","0","100","212","1","1","86","4","2","2","2","5","3","6","3","2","2","6","7","5","6","7","6","3","6","2","3","2","","","","","","2","","","52","purple","","woman","White","","","","","","","","$60,001-$80,000","4yearColl","Democrat","","Not very strong","",""
"RN050yq","0","100","581","1","1","40","7","6","2","7","3","6","3","5","5","5","2","2","5","3","3","2","2","5","1","2","1","","","","","","7","","","78","Red","Thank you","woman","White","","","","","","","","$20,001-$40,000","GED","Republican","","","Not very strong",""
"SU954vy","0","100","217","1","1","70","3","5","6","5","3","3","3","3","5","5","3","3","5","6","6","5","3","5","3","3","3","","","","","","6","","","54","Pink","","woman","White","","","","","","","","$120,001-$140,000","4yearColl","Republican","","","Not very strong",""
"DO973ss","0","100","213","1","1","22","4","6","6","2","3","3","4","4","3","5","3","3","5","2","1","2","5","2","1","1","1","","","","","","3","","","70","blue","thanks","man","White","","","","","","","","$80,001-$100,000","4yearColl","Democrat","","Strong","",""
"NS161zb","0","100","281","1","1","57","5","5","3","4","2","6","2","6","6","5","3","2","5","4","2","2","5","2","1","1","1","","","","","","4","","","44","Black ","","woman","White","","","","","","","","$60,001-$80,000","GED","Independent","","","","Closer to Republican"
"JX197ki","0","100","134","1","1","51","5","3","1","1","5","3","4","3","3","3","5","5","5","5","4","5","5","5","1","1","1","","","","","","1","","","22","Green","",NA,"","","","Asian","","","","","$0-$20,000","4yearColl","Democrat","","Not very strong","",""
"KH168yt","0","100","176","1","1","32","4","5","3","1","3","5","3","5","6","5","2","3","5","3","4","3","6","4","2","2","2","","","","","","1","","","27","Purple","","woman","White","","","","","","","","$80,001-$100,000","4yearColl","Democrat","","Strong","",""
"KB854yb","0","100","275","1","1","19","2","6","1","2","2","6","2","6","6","6","2","2","5","5","5","3","5","3","3","2","3","","","","","","2","","","62","black","","man","White","","","","","","","","$60,001-$80,000","4yearColl","Democrat","","Strong","",""
"HW295ac","0","100","226","1","1","39","5","2","1","2","1","3","1","7","6","7","1","1","5","1","4","2","6","1","1","1","1","","","","","","2","","","68","Green","","man","White","","","","","","","","$20,001-$40,000","4yearColl","Democrat","","Strong","",""
"AA889un","0","100","220","1","1","41","4","5","1","4","3","4","3","4","4","4","4","3","5","2","2","2","7","2","1","1","1","","","","","","3","","","38","Blue ","","woman","White","","","","","","","","$100,001-$120,000","GED","Democrat","","Strong","",""
"LR948yw","0","100","178","1","1","37","4","5","3","5","3","4","3","4","4","4","3","3","5","6","5","5","5","5","2","2","2","","","","","","4","","","41","blue","","woman","White","","","","","","","","$160,001-$180,000","2yearColl","Independent","","","","Closer to Republican"
"GW185tq","0","100","231","1","1","5","3","6","6","5","2","6","2","6","5","4","3","2","5","1","1","1","6","1","1","1","1","","","","","","4","","","72","Yellow","","woman","White","","","","","","","","$40,001-$60,000","GED","Independent","","","","Neither"
"RE153cj","0","100","233","1","1","30","4","6","3","6","3","5","3","5","5","5","2","2","5","2","3","2","6","2","1","2","1","","","","","","4","","","45","Blue","","man","White","","","","","","","","$80,001-$100,000","4yearColl","Republican","","","Not very strong",""
"IU724vj","0","100","264","1","1","33","3","6","3","7","2","6","1","7","7","6","3","2","5","2","2","3","5","1","1","2","2","","","","","","5","","","42","Gray","No comments ","man","","","","","","","Native Hawaiian or Other Pacific Islander","","$40,001-$60,000","GED","Republican","","","Not very strong",""
"PC695sk","0","100","636","1","1","40","5","5","2","1","2","6","2","6","6","6","2","2","5","2","2","2","5","2","2","2","2","","","","","","4","","","38","Green","","man","","","Black or African American","","","","","","$40,001-$60,000","4yearColl","Independent","","","","Neither"
"VH081ee","0","100","300","1","1","75","4","2","1","1","3","4","3","4","4","4","4","4","5","6","7","6","2","6","2","2","3","","","","","","1","","","40","purple","","woman","White","","","","","","","","$40,001-$60,000","4yearColl","Independent","","","","Closer to Democratic"
"CN316yt","0","100","175","1","1","9","7","6","2","2","3","4","2","4","4","4","3","3","5","2","2","2","6","2","1","1","1","","","","","","2","","","32","Red","","man","White","","","Asian","","","","","$180,001-$200,000","MA","Democrat","","Strong","",""
"GJ937sz","0","100","229","1","1","51","4","7","6","7","2","5","3","5","5","4","3","2","5","2","2","2","6","1","1","1","1","","","","","","7","","","72","blue","no comment","woman","White","","","","","","","","$20,001-$40,000","GED","Republican","","","Strong",""
"SI173jh","0","100","844","1","1","39","4","1","1","1","1","7","1","7","5","7","1","1","5","1","1","1","7","5","1","1","1","","","","","","2","","","35","Green","","man","White","","","","","","","","$60,001-$80,000","GED","Democrat","","Not very strong","",""
"DF435cw","0","100","271","1","1","80","3","5","4","2","2","5","2","5","5","5","2","2","3","6","7","6","5","7","3","3","3","","","","","","3","","","36","Teal","","woman","White","","","","","","","","$20,001-$40,000","2yearColl","Independent","","","","Neither"
"LT259cg","0","100","206","1","1","70","5","4","6","7","2","6","2","6","6","5","2","1","5","6","6","5","3","5","3","2","3","","","","","","6","","","23","Pink","I do not have any additional comments.","woman","White","","","","","","","","$80,001-$100,000","4yearColl","Republican","","","Strong",""
"XM866ks","0","100","184","1","1","65","1","4","3","1","2","7","1","7","4","5","1","1","5","6","7","5","4","7","2","1","3","","","","","","4","","","26","Pink","","woman","","","Black or African American","","","","","","Prefer not to answer","GED","Independent","","","","Neither"
"CZ772ql","0","100","206","1","1","65","4","4","4","1","4","5","6","7","5","4","4","5","6","5","5","7","6","4","3","2","2","","","","","","4","","","34","Red","","woman","","","Black or African American","","","","","","$20,001-$40,000","GED","Democrat","","Strong","",""
"UX977wj","0","100","573","1","1","9","1","7","1","1","1","7","1","7","7","7","1","1","5","1","1","1","7","1","1","1","1","","","","","","2","","","25","My favorite color is black.","","man","","","Black or African American","","","","","","$80,001-$100,000","4yearColl","Democrat","","Strong","",""
"JP036ew","0","100","229","1","1","8","3","3","4","6","4","4","4","5","4","4","4","3","5","4","3","3","4","4","2","1","2","","","","","","5","","","38","Purple","Thank you for the opportunity to participate in your study.","man","White","","","","","","","","$0-$20,000","GED","Independent","","","","Neither"
"WX678wy","0","100","456","1","1","0","5","4","5","2","1","7","1","7","7","6","1","1","5","2","1","1","7","1","1","1","1","","","","","","3","","","28","Black","","man","","","Black or African American","","","","","","$80,001-$100,000","4yearColl","Democrat","","Not very strong","",""
"NW932lr","0","100","231","1","1","40","3","5","2","2","3","3","2","5","4","5","3","3","5","3","3","3","3","4","1","1","2","","","","","","3","","","41","Red","None.","man","White","","","Asian","","","","","$100,001-$120,000","GED","Democrat","","Not very strong","",""
"MX359zp","0","100","157","1","1","72","4","5","6","5","5","6","5","5","6","5","4","6","5","4","5","5","6","5","2","2","1","","","","","","2","","","29","BLUE","","woman","White","","","","","","","","$20,001-$40,000","MA","Republican","","","Strong",""
"OF187uq","0","100","259","1","1","0","1","3","7","6","3","5","3","5","5","5","3","3","5","2","1","1","6","1","1","1","1","","","","","","5","","","60","red","","man","White","","","","","","","","$60,001-$80,000","GED","Independent","","","","Closer to Republican"
"CY460qa","0","100","458","1","1","39","3","3","5","6","4","5","4","4","5","4","4","4","5","4","4","4","4","4","2","2","2","","","","","","6","","","54","blue","","man","","","Black or African American","","","","","","$0-$20,000","4yearColl","Republican","","","Not very strong",""
"AU493pu","0","100","225","1","1","68","6","5","5","6","5","6","5","6","5","5","5","5","5","2","3","3","3","3","1","1","1","","","","","","2","","","31","blue","","woman","White","","","","","","","","$20,001-$40,000","2yearColl","Democrat","","Strong","",""
"QD495hu","0","100","152","1","1","66","3","3","3","3","2","6","2","6","6","6","2","2","5","6","6","6","3","6","3","3","3","","","","","","4","","","37","blue","","man","White","","","","","","","","$100,001-$120,000","4yearColl","No preference","","","","Neither"
"WD524xn","0","100","173","1","1","22","7","7","4","1","2","4","3","2","4","4","4","2","5","3","3","4","5","4","1","2","2","","","","","","2","","","55","green","","woman","White","","","","","","","","$80,001-$100,000","2yearColl","Democrat","","Strong","",""
"DR357qd","0","100","236","1","1","61","4","5","2","2","4","4","3","4","4","4","3","5","5","2","2","2","6","2","1","2","1","","","","","","2","","","25","green","","woman","","Hispanic, Latino, or Spanish origin","","","","","","","$80,001-$100,000","4yearColl","Democrat","","Strong","",""
"WS612fj","0","100","271","1","1","19","6","5","3","3","1","6","2","6","5","7","1","2","5","1","1","1","7","2","1","1","1","","","","","","2","","","63","bl","","woman","White","","","","","","","","$40,001-$60,000","PHD","Democrat","","Not very strong","",""
"YG316ef","0","100","305","1","1","59","2","4","4","5","2","5","2","6","6","5","2","3","5","5","5","4","5","5","2","2","2","","","","","","5","","","29","Blue","","man","White","","","","","","","","$120,001-$140,000","GED","Republican","","","Strong",""
"BQ110jf","0","100","374","1","1","10","6","4","1","5","1","5","1","6","6","6","1","1","5","2","1","1","7","1","2","2","2","","","","","","3","","","57","purple","thank you","woman","White","","","","","","","","$80,001-$100,000","4yearColl","Democrat","","Strong","",""
"JC083ok","0","100","134","1","1","66","2","4","6","6","3","5","3","5","5","5","3","3","5","5","5","5","3","5","2","2","2","","","","","","6","","","45","Blue","","man","White","","","","","","","","$140,001-$160,000","4yearColl","Independent","","","","Neither"
"BF126ki","0","100","316","1","1","80","3","3","2","1","3","4","3","5","4","5","3","3","5","6","6","6","4","6","3","2","3","","","","","","1","","","38","Purple","","man","White","","","","","","","","$20,001-$40,000","GED","Democrat","","Strong","",""
"PP102xx","0","100","374","1","1","41","5","4","4","3","2","5","3","5","5","5","2","2","5","6","6","5","4","5","2","2","2","","","","","","3","","","47","Blue","","woman","","","Black or African American","","","","","","$40,001-$60,000","4yearColl","Democrat","","Not very strong","",""
"EA491hz","0","100","212","1","1","40","6","4","1","1","4","4","4","4","4","5","4","4","5","5","6","5","4","6","2","2","2","","","","","","2","","","24","Blue","","man","","","","Asian","","","","","$60,001-$80,000","GED","Democrat","","Not very strong","",""
"EM869im","0","100","539","1","1","37","4","4","2","3","2","6","2","7","7","7","1","2","5","3","5","2","5","3","1","1","1","","","","","","3","","","54","blue","","woman","White","","","","","","","","$20,001-$40,000","GED","Democrat","","Strong","",""
"NT651el","0","100","225","1","1","61","6","2","1","1","2","1","1","6","2","5","1","2","5","4","4","5","6","5","1","1","2","","","","","","1","","","64","blue","","woman","","","Black or African American","","","","","","$160,001-$180,000","MA","Democrat","","Strong","",""
"LU119cw","0","100","244","1","1","29","4","6","3","2","4","3","3","4","3","5","4","4","5","4","5","3","6","4","2","2","2","","","","","","4","","","56","blue","","woman","White","","","","","","","","$60,001-$80,000","GED","Independent","","","","Closer to Democratic"
"XE544ts","0","100","193","1","1","19","3","3","3","1","4","3","3","5","3","4","3","2","5","3","2","2","5","2","1","1","1","","","","","","2","","","32","black","","woman","White","","","","","","","","Over $200,000","4yearColl","Democrat","","Strong","",""
"JQ184fe","0","100","268","1","1","70","5","5","4","3","2","6","2","6","6","6","2","2","5","5","5","4","4","3","1","1","1","","","","","","4","","","28","Green","","man","","","","Asian","","","","","$60,001-$80,000","4yearColl","Democrat","","Not very strong","",""
"RI824rf","0","100","244","1","1","40","2","3","5","6","3","6","2","6","5","6","2","2","5","3","3","2","6","3","2","2","2","","","","","","6","","","64","pink","","woman","White","","","","","","","","$80,001-$100,000","GED","Republican","","","Not very strong",""
"MT782xs","0","100","243","1","1","67","4","6","2","6","3","5","3","6","5","5","4","4","5","2","4","3","6","3","1","1","2","","","","","","5","","","48","blue","","man","White","","","","","","","","$80,001-$100,000","4yearColl","Republican","","","Not very strong",""
"OH125ga","0","100","225","1","1","75","5","4","1","1","1","7","1","7","7","7","1","1","5","7","6","6","5","7","2","2","2","","","","","","1","","","31","Blue","","man","White","","","","","","","","$0-$20,000","GED","Democrat","","Strong","",""
"ZW043yw","0","100","305","1","1","85","5","6","1","1","3","3","2","6","5","3","3","3","5","5","6","5","5","6","2","2","2","","","","","","1","Nonbinary","","24","right now I love the color of blackberries","",NA,"White","","","","","","","","$40,001-$60,000","4yearColl","No preference","","","","Neither"
"XN500xp","0","100","219","1","1","74","2","3","4","4","3","3","3","5","5","3","3","3","5","3","5","5","5","3","2","1","1","","","","","","5","","","47","black","","woman","White","","","","","","","","$20,001-$40,000","GED","Republican","","","Not very strong",""
"XG999vm","0","100","119","1","1","13","4","2","1","1","2","5","2","5","5","4","3","2","5","5","3","4","5","4","1","1","2","","","","","","2","","","33","Green","","man","","","","Asian","","","","","Over $200,000","PHD","Democrat","","Strong","",""
"TL439ue","0","100","237","1","1","70","2","3","1","1","5","1","4","4","2","4","4","5","5","5","4","6","2","6","3","3","3","","","","","","2","","","43","pink","no","woman","White","","","","","","","","$80,001-$100,000","GED","Independent","","","","Neither"
"GM119dr","0","100","194","1","1","60","5","5","3","4","3","5","3","5","5","4","3","5","5","3","5","5","5","5","2","2","2","","","","","","5","","","42","blue","","man","White","","","","","","","","$100,001-$120,000","PHD","Independent","","","","Neither"
"CL605zm","0","100","265","1","1","36","4","2","1","2","2","7","1","7","6","6","1","2","5","2","1","2","6","5","3","2","2","","","","","","2","","","38","red","","woman","","","Black or African American","","","","","","$80,001-$100,000","4yearColl","Democrat","","Not very strong","",""
"ZV274zb","0","100","300","1","1","40","4","5","7","6","2","6","2","6","6","6","2","2","5","5","4","5","4","5","2","2","2","","","","","","6","","","40","blue","","man","White","","","","","","","","$80,001-$100,000","GED","Republican","","","Not very strong",""
"KV244jq","0","100","256","1","1","60","4","2","3","1","4","3","4","3","3","5","5","5","5","5","4","5","6","4","2","2","2","","","","","","2","","","70","blue","","woman","White","","","","","","","","$40,001-$60,000","2yearColl","Democrat","","Not very strong","",""
"KC517mr","0","100","167","1","1","8","3","3","3","3","3","5","3","5","6","5","3","3","5","2","1","3","6","2","1","1","1","","","","","","2","","","29","green","","man","White","","","","","","","","$20,001-$40,000","PHD","Democrat","","Strong","",""
"EB170rf","0","100","213","1","1","65","1","6","7","7","5","3","5","3","3","3","5","5","5","6","4","5","5","6","2","2","2","","","","","","7","","","51","Blue","","man","White","","","","","","","","$40,001-$60,000","GED","Republican","","","Strong",""
"ZZ363bu","0","100","208","1","1","90","5","5","5","2","2","5","3","6","5","5","3","3","5","5","7","5","2","6","2","2","2","","","","","","4","","","30","Green","","woman","White","","","","","","","","$60,001-$80,000","2yearColl","Independent","","","","Neither"
"EK912bt","0","100","465","1","1","76","2","3","3","3","3","5","3","5","5","5","2","3","5","6","5","3","3","6","3","3","3","","","","","","4","","","59","green","","woman","White","","","","","","","","$20,001-$40,000","GED","Independent","","","","Closer to Republican"
"IA724pl","0","100","420","1","1","25","5","6","3","2","3","5","4","5","5","4","3","3","5","2","2","2","6","2","1","2","1","","","","","","3","","","27","blue","","woman","White","","","","","","","","$80,001-$100,000","MA","Democrat","","Not very strong","",""
"OI709mz","0","100","227","1","1","35","4","2","7","7","2","6","2","6","6","6","2","2","5","5","5","5","5","6","2","2","2","","","","","","7","","","44","Green","Thank you!","woman","White","","","","","","","","$120,001-$140,000","4yearColl","Republican","","","Strong",""
"NB954ou","0","100","165","1","1","90","4","5","1","1","5","3","5","3","3","3","5","5","5","7","7","7","1","7","3","3","3","","","","","","2","","","39","green","","woman","White","","","","","","","","$20,001-$40,000","GED","Independent","","","","Closer to Democratic"
